"LATITUDE";"LONGITUDE";"populacao_total_media";"total_de_domicilios_media";"total_trabalhadores_media";"renda_per_capita_media";"gastos_habitacao_dom_media";"gastos_transporte_dom_media";"gastos_saude_dom_media";"gastos_educacao_dom_media";"gastos_higiene_e_cuidados_pessoais_dom_media";"gastos_alimentacao_dom_media";"gastos_telefone_fixo_dom_media";"gastos_telefone_celular_dom_media";"gastos_pacote_3play_dom_media";"gastos_comunicacao_dom_media";"gastos_recreacao_e_cultura_dom_media";"gastos_viagens_dom_media";"propensao_seguro_saude_media";"propensao_seguro_vida_media";"propensao_seguro_residencial_media"
-16.7301177978516;-49.2592620849609;593.841195925112;264.381948738529;43.0622054259391;2783.05145091547;1906.69732734204;1148.97577997595;431.596245511798;233.974851407838;240.073698066169;1051.66592027373;7.72187822376294;73.2335277126896;51.5715120760389;4.44733982491305;167.382380860347;85.8439988772757;37.403046254221;12.3274181618629;12.0008316152376
-16.7314910888672;-49.2592620849609;679.59846866995;280.08257872283;250.182270052709;2343.3747654455;1609.82749461644;963.164830664865;362.268215600845;200.196226485297;200.763066903675;879.058224984158;6.36875466128665;61.3641111638149;43.3212198361162;3.67576255296505;141.484934092645;72.5946808512595;33.8410893961206;10.751705401507;10.6188390799662
-16.7287445068359;-49.2606353759766;665.974459450065;296.08201058006;40.371000525036;2822.33786346176;1955.91038168922;1177.30044592152;447.875512458426;241.834720778617;248.169128094484;1090.81889519632;7.82621325659173;76.1888780593431;53.1099460997305;4.62759087280723;173.411668212098;89.4588393116826;37.5002995282139;12.3855661930539;12.0477719291351
-16.7301177978516;-49.2606353759766;698.913644736726;334.501611225081;1.49028917652934;2843.48099632381;1860.44181822177;1094.8629865954;421.990723013551;222.3284153843;232.87353500444;1023.02189652187;7.66865209466625;71.1141763817956;49.8611016924984;4.28809910747067;159.386765559333;81.3736607388443;34.6395641713651;10.8908299773093;10.8908299773093
-16.7314910888672;-49.2606353759766;632.503480092327;316.741107014371;41.4900807224196;2722.64326670521;1560.84110985538;884.985404597562;348.207320399928;177.748509965496;193.913155850334;853.155043650983;6.51955573359686;59.0205445309609;40.6043135738755;3.47466575155644;129.66321038944;65.2051034048913;34.4428258386052;10.8814290816353;10.8146626185754
-16.7287445068359;-49.2620086669922;837.59087057068;372.115757002806;2.13459061901141;2794.81486737663;1938.5105020971;1107.02966290239;442.905867032452;224.681260847788;245.259665046933;1086.13799058267;8.05599853419843;75.6200889291737;50.8926116273073;4.56303812674605;163.973673950568;83.4434724682291;34.5576517890785;10.8999996185303;10.8572905343861
-16.7301177978516;-49.2620086669922;715.885687147465;337.281542007122;122.09494360075;2813.58329835717;1865.87186762839;1089.75091288735;424.379242842812;221.478359492407;233.698624017297;1028.46135173651;7.7201356538792;71.5168624462603;49.8440489528206;4.31496112924312;158.974115626021;81.1184902688344;34.5936929069952;10.88873262966;10.8774655333388
-16.7314910888672;-49.2620086669922;673.427972864819;316.506165078227;369.865879096292;2700.63222973772;1771.30602099001;1019.26363902541;399.607100320972;205.557326056526;220.939420790705;972.249323705019;7.40664527521656;67.4238162813623;46.7408137072453;4.03837098178005;148.532553374319;75.2161806071353;34.4154495468386;10.8656278862301;10.8166067223628
-16.7328643798828;-49.2510223388672;661.297716611829;252.845634748105;41.7355143736521;2898.25587140912;2025.65062733073;1252.36720008721;467.111406581876;254.405798222981;255.21899964939;1116.41231719279;8.29601356978401;77.8031982168835;56.4909721294826;4.80270982441728;179.515834831316;93.0953634249707;37.6013123865703;12.3983269918312;12.0723528600818
-16.7314910888672;-49.2523956298828;1093.66480064801;414.780509404035;381.748115111511;3591.60045226935;2337.58634631695;1592.85528853066;573.868435607143;339.905935751972;300.157632818225;1311.33075100401;8.99439612059248;93.1486357930685;71.4435902971159;6.10670608319998;226.760153922048;122.982981213466;67.3177662554374;27.2194585586962;23.6874776965609
