"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GO8XM";12;71;61;-48,330028;-15,75225;202602
"GOAPK";213;662;299;-48,964853;-16,301664;202602
"GOVBO";494;1198;745;-49,318114;-16,727978;202602
"GOAID";44;118;143;-49,261139;-16,661917;202602
"GOJTN";513;2372;973;-51,730308;-17,866619;202602
"GORMG";139;762;482;-49,186256;-16,647369;202602
"GOJBS";233;2237;1387;-51,694989;-17,877369;202602
"GOA15";135;958;618;-48,282019;-15,772047;202602
"GOGTC";476;1195;443;-49,367189;-18,016078;202602
"GOUVT";388;547;260;-49,247504;-16,676843;202602
"GOAP1";192;952;995;-47,5179;-14,136611;202602
"GOGNA";653;712;347;-49,257194;-16,675564;202602
"GOGRP";227;646;448;-49,37345;-16,67929;202602
"GOMCO";27;342;472;-46,957444;-14,895417;202602
"GOSUV";202;116;41;-49,25232;-16,69585;202602
"GOPG2";11;97;127;-49,142281;-13,41484;202602
"GOMRG";234;895;717;-49,32545;-16,6283;202602
"GOAAA";2;20;27;-49,296111;-13,925556;202602
"GO8XZ";12;110;91;-48,014139;-16,057694;202602
"GOAVG";61;624;524;-49,28205;-16,84015;202602
"GOITJ";21;315;301;-51,525833;-19,041667;202602
"GOPTI";318;1082;670;-49,207083;-16,747083;202602
"GOSLU";225;255;99;-49,240519;-16,687333;202602
"GOPGD";428;3999;2893;-49,9195;-16,806917;202602
"GO8XW";0;0;1;-48,269667;-15,947972;202602
"GONEG";155;636;327;-49,359908;-16,715669;202602
"GOVBE";451;605;236;-49,29597;-16,71584;202602
"GOIET";467;4162;3052;-49,794806;-16,035361;202602
"GOEUR";252;306;191;-49,311589;-16,713708;202602
"GOUUP";1;67;50;-49,606611;-15,670047;202602
"GOCNE";104;657;861;-49,1535;-14,314656;202602
"GOAVD";278;172;93;-49,184203;-16,603506;202602
"GOIND";86;707;636;-49,994069;-17,137447;202602
"GOCQZ";172;92;15;-49,247597;-16,692539;202602
"GOA17";45;446;318;-48,273738;-15,714425;202602
"GOBBD";15;132;149;-49,40865;-16,3495;202602
"GOVDO";324;2355;1321;-48,015;-16,056111;202602
"GOLSM";122;736;384;-47,941031;-16,227258;202602
"GOPRE";321;896;480;-49,324025;-16,736133;202602
"GOGAM";45;256;197;-48,645861;-16,486917;202602
"GO60D";101;194;119;-49,485528;-16,674056;202602
"GOCN4";28;164;145;-52,797653;-18,527181;202602
"GOITN";48;170;123;-48,637611;-17,769347;202602
"GOPOS";85;774;748;-49,610944;-16,943833;202602
"GOBR2";71;301;208;-48,821561;-16,310228;202602
"GOPAI";160;1029;1250;-50,653889;-18,910833;202602
"GO8XE";4;7;7;-49,504639;-16,35775;202602
"GOTBA";21;123;101;-49,550319;-16,623461;202602
"GORAV";357;877;466;-50,96323;-17,82749;202602
"GOALO";105;824;516;-48,338761;-15,74285;202602
