"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GOIED";173;1310;945;-49,796722;-16,02075;202602
"GOIPI";343;532;388;-49,328392;-16,665214;202602
"GORNT";101;112;38;-49,250625;-16,680825;202602
"GOSBV";826;516;169;-49,263039;-16,714644;202602
"GORIA";51;1233;1217;-49,924028;-15,689389;202602
"GOTSD";46;250;145;-47,779889;-18,360083;202602
"GOPRU";482;124;61;-49,258861;-16,702694;202602
"GOGMO";182;1146;1314;-49,323161;-16,616333;202602
"GOLSE";536;1568;584;-47,948292;-16,241264;202602
"GONVG";84;1234;1246;-49,564889;-15,174083;202602
"GOMDR";333;692;437;-49,347611;-16,757111;202602
"GOALL";3;21;32;-49,49854;-15,89343;202602
"GOMND";210;1911;1622;-52,555964;-17,588261;202602
"GOAGR";104;251;193;-49,32898;-16,77189;202602
"GOCJA";77;439;417;-49,44095;-16,67146;202602
"GOAIM";90;755;728;-49,313033;-16,819011;202602
"GOSND";4;20;21;-49,117489;-15,134831;202602
"GOBR1";32;75;56;-49,160239;-16,576075;202602
"GOASH";0;2;1;-49,251667;-16,823722;202602
"GOARI";155;595;460;-49,25071;-16,83711;202602
"GOGOC";156;1467;1440;-50,13575;-15,944889;202602
"GOACD";219;1185;765;-50,374678;-17,396978;202602
"GOFCV";167;429;226;-49,319056;-16,743194;202602
"GOPSQ";36;376;458;-46,334919;-14,103511;202602
"GOIUP";77;290;175;-49,483172;-16,379525;202602
"GONSC";1855;1272;396;-49,27015;-16,719631;202602
"GOMNI";640;3800;2633;-52,53795;-17,544431;202602
"GORFO";348;1344;785;-49,337261;-16,7258;202602
"GOCOS";153;1206;771;-47,925222;-16,1955;202602
"GOCPB";346;409;209;-49,273856;-16,676594;202602
"GOMCG";111;1986;3050;-51,392494;-16,007011;202602
"GOGJN";134;533;348;-49,211478;-16,665197;202602
"GO8YI";17;155;123;-48,287139;-15,71775;202602
"GOSCP";169;875;593;-49,10581;-16,70056;202602
"GO8QD";0;0;4;-48,292444;-15,934472;202602
"GONQC";315;2819;2890;-48,439056;-14,471806;202602
"GOBZR";71;1042;1134;-47,106861;-15,494972;202602
"GOVSZ";100;677;439;-49,237356;-16,822628;202602
"GOGRV";282;863;678;-49,343647;-16,767497;202602
"GOJAM";606;403;153;-49,279383;-16,706917;202602
"GOTLP";29;305;398;-49,528228;-16,639958;202602
"GOSAL";48;274;151;-49,259167;-16,833778;202602
"GONOL";243;1477;1287;-49,227864;-16,829483;202602
"GOMCS";132;963;904;-49,373061;-16,7048;202602
"GO8XL";53;312;194;-47,995583;-16,05225;202602
"GOSHC";2;9;6;-49,313981;-16,682542;202602
"GOIPL";36;209;126;-49,2407;-18,407111;202602
"GOJDG";774;405;170;-49,2425;-16,702667;202602
"GOPIC";226;3087;2791;-51,814167;-16,434453;202602
"GOMDG";84;988;883;-49,366103;-16,820922;202602
"GOPGE";205;2893;2527;-49,927278;-16,815278;202602
"GONCD";101;979;2227;-50,336417;-14,097833;202602
"GORB9";2;46;105;-49,808577;-15,44702;202602
"GONGA";188;895;417;-48,031003;-16,058169;202602
"GOPSR";380;2015;1526;-49,374861;-16,724778;202602
"GOGPW";280;341;165;-49,2863;-16,6799;202602
"GOSSC";14;176;292;-48,816534;-16,766106;202602
"GOPQA";1266;1845;939;-49,280056;-16,728111;202602
"GOPLD";98;730;605;-47,583417;-15,427361;202602
"GORRO";437;889;424;-50,929719;-17,783053;202602
"GOMMM";324;2115;1914;-52,539719;-17,537889;202602
"GODCI";76;693;488;-47,563909;-18,153126;202602
"GOSSS";243;1513;1099;-49,08632;-16,71115;202602
"GOAT7";1013;564;170;-49,274908;-16,688914;202602
"GOAMB";54;270;234;-49,223411;-16,788833;202602
"GOIUD";84;392;279;-49,609417;-16,208064;202602
"GONQQ";150;1605;1974;-48,427425;-14,458339;202602
"GOSJD";227;2691;3511;-47,523306;-14,709194;202602
"GO8PX";7;90;95;-48,2585;-15,944306;202602
"GOCIU";381;913;602;-48,622478;-17,740589;202602
"GOICL";78;1278;999;-49,54068;-14,96392;202602
"GOPGT";335;1648;1429;-49,145736;-13,44305;202602
"GOFST";960;5894;3656;-47,352203;-15,546208;202602
"GOAFN";518;677;342;-49,261328;-16,670375;202602
"GOAOV";35;274;212;-49,2394;-16,85144;202602
"GO8QM";18;86;141;-47,607389;-16,752194;202602
"GORMC";185;847;538;-49,2761;-16,574469;202602
"GOAMG";63;659;644;-49,372431;-16,844689;202602
"GOGOI";244;1655;1471;-49,020258;-16,500342;202602
"GOAAV";44;313;236;-48,976764;-16,382344;202602
"GOCT3";27;112;100;-48,627561;-17,727917;202602
"GO8RE";9;111;126;-48,309111;-15,943722;202602
"GOCTL";1224;5589;2462;-47,949933;-18,155767;202602
"GOALN";82;1663;2804;-46,482814;-14,496222;202602
"GOUUF";4;84;78;-49,634007;-15,632446;202602
"GOARU";496;620;295;-49,212778;-16,695422;202602
"GOITY";30;144;85;-48,97355;-16,30348;202602
"GOGNS";95;458;444;-49,12145;-15,299975;202602
"GOLAC";107;612;273;-47,936389;-16,242639;202602
"GODAG";10;61;31;-49,207653;-16,810066;202602
"GO8YH";0;8;7;-48,274;-15,767944;202602
"GOGSI";2;3;3;-49,2731;-16,7077;202602
"GOLJR";2;6;5;-50,932697;-17,795575;202602
"GONPA";201;1040;805;-49,220561;-16,408747;202602
"GOAHG";17;150;93;-48,220111;-18,3385;202602
"GOCEZ";75;538;499;-49,772197;-16,974856;202602
"GOCTE";434;1457;604;-47,931239;-18,1547;202602
"GOAAJ";1;7;35;-48,973125;-16,279913;202602
"GOSPA";144;641;576;-49,126;-16,65679;202602
"GOPNE";413;930;882;-49,323164;-16,647008;202602
"GOIBM";77;267;130;-49,21025;-18,379861;202602
"GOAVB";249;495;283;-49,24763;-16,73643;202602
"GOSUM";115;400;261;-48,908489;-16,338831;202602
"GOBRQ";55;292;227;-47,807599;-16,460902;202602
"GOASL";232;868;495;-49,233611;-16,753331;202602
"GOVIB";62;1150;1508;-47,060528;-15,041333;202602
"GOMVD";482;2998;2392;-51,178361;-17,446472;202602
"GOAGP";246;418;184;-48,9238;-16,3275;202602
"GOABA";518;1275;590;-48,9378;-16,3065;202602
"GOAND";158;2108;2497;-46,491611;-14,480083;202602
"GOLZT";365;1891;863;-47,932528;-16,260611;202602
"GODQO";485;454;153;-49,278553;-16,679617;202602
"GOMNP";781;3025;1717;-52,546083;-17,548639;202602
"GOOZC";255;2695;2155;-48,307028;-17,035444;202602
"GOARG";131;204;133;-49,253794;-16,672031;202602
"GOTSA";389;1110;809;-49,487447;-16,638836;202602
"GOBPS";1;8;3;-48,949011;-16,324264;202602
"GOAFL";309;990;683;-48,92348;-16,2859;202602
"GOVGR";72;591;322;-48,021064;-16,060753;202602
"GOCFY";264;1136;522;-47,938311;-18,202719;202602
"GOSOL";222;3218;2412;-48,407306;-15,743278;202602
"GOCAP";16;127;221;-48,86385;-16,61584;202602
"GOJNM";125;238;134;-49,231028;-16,687833;202602
"GODIV";72;1182;1546;-46,396944;-13,291583;202602
"GOVBA";307;799;446;-49,230178;-16,671569;202602
"GOSSR";161;901;547;-49,361;-16,732889;202602
"GOOCI";133;1186;767;-47,940389;-16,091278;202602
"GO8XJ";23;95;85;-49,330011;-15,754119;202602
"GOCJU";63;214;168;-48,624333;-17,764806;202602
"GO1S1";82;60;26;-49,271019;-16,714525;202602
"GOBR3";63;312;313;-48,574167;-16,131389;202602
"GOCOR";83;752;591;-48,201117;-16,339556;202602
"GORQT";50;157;89;-48,755;-17,7675;202602
"GOMRN";71;373;271;-49,024842;-16,431153;202602
"GO8XT";27;393;391;-47,309056;-15,530806;202602
"GOJI3";147;1252;800;-47,956919;-16,1521;202602
"GOACW";68;633;580;-49,294839;-16,830719;202602
"GONJP";56;447;261;-48,061936;-16,074375;202602
"GONAA";88;188;89;-49,3074;-16,68872;202602
"GOJUS";82;484;696;-50,859722;-15,868333;202602
"GONG5";82;653;435;-48,078944;-16,0999;202602
"GORBS";14;7;5;-50,944119;-17,818572;202602
"GOA19";98;726;519;-48,250486;-15,747428;202602
"GOSRN";19;367;431;-47,190611;-15,093167;202602
"GO8BC";35;172;131;-49,806472;-16,02025;202602
"GOCXX";26;150;115;-49,476194;-18,493547;202602
"GOLON";665;690;230;-49,2233;-16,71432;202602
"GOSCM";124;779;664;-49,122106;-16,696303;202602
"GOJGD";964;462;135;-49,233086;-16,704717;202602
"GOAPY";292;80;40;-49,201319;-16,714261;202602
"GOA16";166;1358;847;-48,296549;-15,727898;202602
"GOPSO";636;191;36;-49,184722;-16,713333;202602
"GOAJX";53;174;102;-48,95675;-16,298583;202602
"GOPET";75;570;621;-49,322778;-16,102778;202602
"GOPNC";306;1895;1252;-50,443083;-16,950444;202602
"GORVE";825;2500;1144;-50,911111;-17,804722;202602
"GOTRA";563;929;641;-49,251;-16,717867;202602
"GOFER";247;1229;946;-49,184925;-16,666047;202602
"GOCTO";88;690;393;-47,818694;-18,16275;202602
"GOBCO";225;539;314;-49,308456;-16,770844;202602
"GOUPF";20;208;117;-49,785847;-16,799069;202602
"GOSEB";242;172;55;-49,233134;-16,693786;202602
"GO60G";1;14;15;-49,391389;-16,616278;202602
"GOSPW";60;418;328;-51,973889;-18,281389;202602
"GOTIR";121;1066;955;-49,326389;-16,8075;202602
"GOALC";129;1103;572;-48,261444;-15,740611;202602
"GOETF";215;531;363;-49,254436;-16,66505;202602
"GOITD";124;1032;824;-51,54586;-19,0672;202602
"GOISI";122;198;71;-49,223269;-18,427289;202602
"GOTUR";139;1781;1341;-50,1487;-16,608253;202602
"GOCED";632;3828;1921;-49,600556;-15,314806;202602
"GOCAW";271;2484;2127;-51,121444;-18,571944;202602
"GO8YA";6;63;47;-48,288917;-15,729028;202602
"GOITQ";66;531;337;-47,428194;-15,34975;202602
"GOCDM";438;909;331;-47,910369;-18,160919;202602
"GOSHA";5;8;17;-49,278369;-16,630112;202602
"GOJBL";156;500;294;-48,965736;-16,336236;202602
"GOGBR";605;673;461;-49,221139;-16,698181;202602
"GONAU";96;995;412;-48,25825;-18,058528;202602
"GO8XG";13;118;148;-49,394483;-16,5629;202602
"GORJG";536;911;627;-50,916372;-17,783333;202602
"GOURB";505;2484;1686;-49,149111;-14,525194;202602
"GONER";212;1496;1272;-49,234522;-16,400386;202602
"GOVOI";491;1228;623;-47,986389;-16,088611;202602
"GONQT";34;376;474;-48,403733;-14,357397;202602
"GO8YF";0;0;1;-49,499278;-16,383417;202602
"GOJRD";198;890;796;-49,326278;-15,745569;202602
"GO8PY";88;716;505;-47,344056;-15,559889;202602
"GOAMC";4;72;294;-46,73288;-13,43338;202602
"GOAED";1;6;7;;;202602
"GOAEN";191;480;204;-48,955442;-16,348625;202602
"GOA10";114;921;535;-48,291778;-15,7441;202602
"GOIBA";250;423;192;-49,205944;-18,407667;202602
"GOPBT";28;396;696;-48,263528;-15,255167;202602
"GO8YB";32;80;51;-47,344;-15,540189;202602
"GOUUU";13;159;256;-49,687528;-15,668511;202602
"GOSVA";498;4327;2655;-48,614806;-16,669556;202602
"GOPOW";6;58;84;-49,57498;-14,76655;202602
"GOVON";479;1640;641;-47,967694;-16,087519;202602
"GOVML";169;598;362;-49,220683;-16,685381;202602
"GOJCU";389;1257;982;-49,353589;-16,7512;202602
"GOEDE";325;2777;2798;-49,930453;-17,339164;202602
"GOFLI";7;5;12;-49,236225;-16,709181;202602
"GORRP";322;785;501;-49,307381;-16,6279;202602
"GOSAY";327;551;424;-49,201531;-16,605939;202602
"GOAPB";363;2734;1604;-48,267158;-15,756731;202602
"GOBIT";40;296;420;-51,163611;-15,243333;202602
"GORTB";236;3269;2440;-49,807156;-15,170833;202602
"GOGJL";264;995;745;-49,352264;-16,765831;202602
"GOSUD";1554;914;255;-49,277147;-16,696217;202602
"GORJM";1185;1429;622;-50,942833;-17,780389;202602
"GORVG";254;494;294;-50,991494;-17,824808;202602
"GODS5";387;827;346;-49,234747;-16,670296;202602
"GOLAS";67;507;430;-51,400303;-19,179917;202602
"GOFRT";655;1585;734;-47,338444;-15,546861;202602
"GOCRO";196;531;362;-49,268858;-16,650061;202602
"GOPD2";152;329;178;-49,283914;-16,665694;202602
"GOMNV";54;854;2126;-50,286744;-13,770408;202602
"GOMIN";275;1271;1000;-52,546056;-17,580667;202602
"GOPCH";44;216;219;-51,234167;-17,820278;202602
"GOARJ";89;551;515;-48,988511;-16,283128;202602
"GOLEG";189;237;118;-49,2261;-16,6952;202602
"GOIUO";9;204;255;-49,735678;-16,20892;202602
"GOJDD";264;1550;754;-51,713969;-17,871989;202602
"GODTU";1040;628;225;-49,278889;-16,701083;202602
"GOGNN";186;1228;1151;-49,136581;-15,308961;202602
"GOAVR";183;554;403;-48,905883;-16,356294;202602
"GO1F1";12;42;92;-49,257967;-16,658667;202602
"GOJBV";273;992;628;-49,233906;-16,74004;202602
"GOCPS";394;648;544;-49,282544;-16,673175;202602
"GOPBC";358;3540;3679;-48,287722;-15,167528;202602
"GOCMD";51;499;317;-48,809161;-15,924353;202602
"GO8QN";7;79;95;-50,444028;-18,454083;202602
"GOANL";124;305;167;-48,950789;-16,368228;202602
"GONPS";76;573;539;-49,212117;-16,431322;202602
"GOGNT";257;819;444;-49,130331;-15,332167;202602
"GOCO5";130;901;506;-47,941487;-16,121541;202602
"GOA18";41;230;162;-48,308897;-15,762719;202602
"GO8QH";8;90;98;-48,285174;-15,73254;202602
"GOCRU";503;503;199;-49,251333;-16,688444;202602
"GOTAX";4;16;3;-48,42884;-16,11065;202602
"GOGSG";96;242;91;-49,235472;-16,630333;202602
"GOARD";23;184;226;-51,084278;-14,927556;202602
"GODAQ";76;676;670;-48,89834;-16,40986;202602
"GOAPV";131;160;51;-47,799372;-16,063025;202602
"GOSVD";200;1858;1121;-48,606139;-16,662917;202602
"GOADB";102;967;851;-49,341661;-16,816339;202602
"GOJUC";92;465;249;-51,627762;-17,69968;202602
"GOSRA";96;1402;1186;-53,198681;-17,3268;202602
"GOADV";303;422;211;-49,192964;-16,618161;202602
"GOJRC";1200;3174;1098;-51,733194;-17,88025;202602
"GOPPS";262;849;611;-48,964161;-15,833747;202602
"GOMPA";787;2204;1467;-49,278089;-16,781181;202602
"GOMUR";85;432;317;-50,339469;-17,973533;202602
"GOMKU";124;1126;1184;-48,209167;-13,523333;202602
"GOSAC";53;257;197;-50,635111;-17,558639;202602
"GOJRV";104;546;351;-51,503611;-17,848056;202602
"GOUUN";64;728;739;-49,653883;-15,525911;202602
"GOVEC";187;1185;838;-49,394989;-16,685433;202602
"GOSTA";523;4229;2515;-48,267453;-15,942111;202602
"GORON";4;40;44;-49,328011;-17,166819;202602
"GOMOA";284;4185;3580;-48,209139;-15,608694;202602
"GOMIA";405;1289;654;-49,12375;-17,732694;202602
"GO8RD";41;242;175;-47,313444;-15,544222;202602
"GO8XX";0;0;5;-49,794784;-16,007098;202602
"GOVLD";471;688;346;-49,303042;-16,692461;202602
"GOCRT";497;3064;3136;-47,607578;-16,752425;202602
"GORPL";6;44;23;-49,218694;-17,839639;202602
"GOPPD";206;650;424;-48,958931;-15,85795;202602
"GOCGC";60;572;612;-48,4048;-15,7318;202602
"GOMZA";107;693;1121;-50,570306;-14,746278;202602
"GOGPO";345;2455;1742;-49,533539;-16,832558;202602
"GOALV";631;1007;553;-49,308308;-16,705506;202602
"GOGPL";241;868;538;-49,37264;-16,65678;202602
"GOSHI";165;684;394;-49,201722;-16,65025;202602
"GOSRB";76;493;464;-49,38059;-16,60508;202602
"GONHA";303;501;160;-49,300767;-16,727636;202602
"GOVPE";537;1592;625;-47,979194;-16,051778;202602
"GOSVV";198;408;282;-49,124651;-16,797939;202602
"GOSPL";503;475;284;-49,252481;-16,710964;202602
"GOJEP";245;552;191;-48,92339;-16,33562;202602
"GOPGQ";156;1287;927;-47,616444;-15,441722;202602
"GO8XH";44;117;70;-47,983277;-16,078527;202602
"GOCZH";143;1419;1499;-48,821944;-15,801194;202602
"GOVLB";384;611;344;-49,2558;-16,7313;202602
"GOGND";159;687;468;-49,118;-15,319694;202602
"GOCJN";215;386;165;-48,943261;-16,311269;202602
"GOAAE";127;353;256;-49,307231;-16,6137;202602
"GORLO";953;1199;404;-50,952139;-17,807389;202602
"GORAP";765;887;505;-50,922778;-17,793222;202602
"GONNC";1;28;64;-49,421828;-15,060439;202602
"GOSVL";68;435;428;-49,363;-16,629111;202602
"GORIU";196;723;542;-49,500453;-16,384736;202602
"GOCLS";98;550;407;-48,605722;-17,744528;202602
"GOALF";202;242;278;-49,308806;-16,642028;202602
"GOMMG";28;607;632;-48,15475;-15,056528;202602
"GOBAL";23;297;328;-48,900833;-14,959722;202602
"GOHDO";216;824;502;-49,23228;-16,967942;202602
"GOGJC";73;526;455;-49,425639;-16,6609;202602
"GOBUR";22;526;874;-46,4297;-14,457358;202602
"GOBVD";478;3671;1976;-48,952639;-16,975836;202602
"GOCEA";371;2682;1355;-48,001547;-16,053514;202602
"GOQNP";641;3577;2017;-50,453781;-18,450033;202602
"GONCS";63;738;1376;-50,3225;-14,099444;202602
"GORSB";100;613;411;-46,943417;-15,561889;202602
"GOCTM";51;198;90;-47,90476;-18,1665;202602
"GOAJP";116;326;230;-48,919822;-16,349419;202602
"GOICC";147;1843;1353;-49,555636;-14,954528;202602
"GORP1";0;5;1;-49,484758;-16,662078;202602
"GOGSP";138;548;224;-49,20305;-16,673911;202602
"GOCUM";38;541;408;-48,539967;-18,158397;202602
"GO8QL";1;32;20;-48,229361;-15,942722;202602
"GOISO";48;137;64;-49,223694;-18,405139;202602
"GORVC";555;452;169;-50,930731;-17,805;202602
"GOCTA";853;1191;460;-47,947583;-18,170833;202602
"GORCD";79;711;611;-47,550972;-14,904417;202602
"GO8XF";24;120;129;-49,33184;-15,74047;202602
"GOASF";134;299;140;-48,956278;-16,359556;202602
"GONAZ";159;2441;1677;-49,883139;-16,58425;202602
"GOABD";38;344;529;-49,403361;-16,813131;202602
"GOADR";12;20;8;-48,91659;-16,40404;202602
"GOANB";603;378;123;-49,265222;-16,678056;202602
"GONHZ";360;950;600;-49,318303;-16,720075;202602
"GOSAV";261;444;298;-49,094711;-16,759859;202602
"GOMII";388;894;499;-49,31556;-16,67155;202602
"GOCXD";52;796;965;-49,960681;-14,531081;202602
"GOIPC";201;2115;1800;-51,12125;-16,427278;202602
"GOGIN";286;1984;1728;-49,430556;-16,502778;202602
"GOAIR";47;404;331;-49,27675;-16,81235;202602
"GODVE";99;792;1306;-52,31425;-16,721722;202602
"GOLES";576;1101;611;-49,241133;-16,665833;202602
"GOICB";0;12;84;-50,114286;-15,423936;202602
"GOASB";200;1137;853;-49,3497;-16,7931;202602
"GOMCV";304;1187;665;-52,552194;-17,575083;202602
"GOCBD";108;1546;2272;-46,781333;-13,029306;202602
"GOTCN";1173;572;177;-49,264711;-16,710481;202602
"GOPLT";182;1953;1319;-47,604444;-15,480278;202602
"GO8QJ";0;4;4;-49,339361;-15,792;202602
"GOCIR";90;119;46;-48,628317;-17,739092;202602
"GOGCC";491;274;100;-49,259578;-16,685461;202602
"GOMAH";8;44;27;-49,378083;-14,225889;202602
"GOSBT";251;1648;1759;-47,508003;-14,155911;202602
"GONNO";3;103;178;-49,497639;-15,065042;202602
"GOGTB";60;205;103;-49,284631;-18,041944;202602
"GOGCJ";540;846;344;-49,297753;-16,685308;202602
"GOCRI";44;245;214;-48,711361;-17,217417;202602
"GOBEL";503;1501;1026;-49,331081;-16,68655;202602
"GOVVP";16;213;226;-48,433303;-16,805622;202602
"GOSIL";2;34;36;-50,29379;-16,37785;202602
"GOPIH";32;461;506;-51,855861;-16,445583;202602
"GOPBN";87;739;1082;-48,276628;-15,219697;202602
"GOSAB";58;226;174;-50,681058;-17,522972;202602
"GOSJB";82;554;435;-49,782806;-16,631528;202602
"GORIC";87;730;560;-49,632388;-16,159033;202602
"GOIEQ";197;2957;3491;-49,794861;-16,007019;202602
"GOPGC";165;1240;835;-47,616189;-15,451842;202602
"GO60H";1;6;12;-49,502861;-16,644;202602
"GOFOZ";540;1668;1105;-47,335472;-15,565361;202602
"GOHDD";274;1830;1455;-49,217933;-16,955219;202602
"GONVC";133;1461;1029;-49,316072;-16,374047;202602
"GOLVI";27;304;285;-47,869286;-16,274847;202602
"GOANS";569;1071;501;-48,956728;-16,330703;202602
"GOGAB";191;352;153;-49,286631;-16,688822;202602
"GOCHC";310;2790;2339;-50,945806;-18,756583;202602
"GOSFA";126;297;157;-49,316722;-16,687833;202602
"GOATU";20;86;101;-52,09295;-18,518764;202602
"GOSMO";145;974;654;-49,107917;-16,69225;202602
"GOVPT";421;2372;1037;-47,996944;-16,0755;202602
"GO8XQ";26;273;185;-48,290528;-15,786464;202602
"GOIBT";20;164;103;-49,257528;-18,409444;202602
"GOAVJ";104;435;276;-48,97555;-16,3494;202602
"GO60A";2;3;5;-61,96975;-10,864167;202602
"GOATN";1459;698;259;-49,2655;-16,696681;202602
"GONEM";32;139;102;-49,241409;-16,788204;202602
"GOFLY";815;444;140;-49,236225;-16,709181;202602
"GOFVE";24;426;254;-47,401983;-15,002183;202602
"GOTCD";303;749;517;-49,484381;-16,667569;202602
"GOHOR";199;1059;1019;-49,336961;-16,624139;202602
"GOJID";187;1512;1003;-47,935639;-16,147089;202602
"GOCEC";33;197;191;-48,327222;-15,863047;202602
"GOBVS";393;3955;2367;-48,945789;-16,964661;202602
"GOPTR";111;891;924;-49,329483;-16,604514;202602
"GOALU";472;3297;1833;-48,284331;-15,726764;202602
"GOLDO";30;230;185;-47,9913;-16,161;202602
"GOSCC";245;1200;927;-49,087508;-16,726769;202602
"GOGSV";191;613;263;-49,206231;-16,684139;202602
"GOCTZ";319;968;396;-47,954947;-18,196158;202602
"GOVJV";1089;537;204;-49,213253;-16,727161;202602
"GOVVE";1265;1604;739;-50,94285;-17,790931;202602
"GOTBS";134;1041;1005;-49,39701;-16,5828;202602
"GOPED";98;362;254;-49,253481;-16,790711;202602
"GOJAN";503;1792;920;-51,724083;-17,875142;202602
"GOFAT";41;220;236;-49,323405;-16,901323;202602
"GOJTR";685;3873;1700;-51,726139;-17,837428;202602
"GOSLN";24;355;454;-49,316686;-14,857306;202602
"GOJT2";306;1217;714;-51,710308;-17,88295;202602
"GOJED";164;924;557;-51,719197;-17,915713;202602
"GOLZQ";229;1464;985;-47,914331;-16,26315;202602
"GORVP";477;1301;862;-50,919075;-17,781269;202602
"GOAFA";3;15;15;-50,487231;-16,349845;202602
"GOVLS";389;3004;2324;-48,513594;-16,744233;202602
"GOJDI";254;993;592;-48,938653;-16,284475;202602
"GOBAV";100;703;497;-49,182;-16,638;202602
"GOROS";706;1202;498;-49,295061;-16,742172;202602
"GOCBB";4;22;69;-46,643;-12,99324;202602
"GOGED";233;880;820;-49,31679;-16,60568;202602
"GONOR";192;511;333;-49,306217;-16,666675;202602
"GOARS";206;1191;926;-52,248194;-15,903194;202602
"GOJAB";371;3302;2040;-51,715554;-17,864017;202602
"GONJB";55;437;270;-48,055175;-16,0547;202602
"GO1F3";12;27;70;-49,25662;-16,65971;202602
"GOABG";244;1618;1217;-49,438972;-16,762306;202602
"GOGGM";64;274;154;-48,086028;-18,129639;202602
"GOSMR";529;156;82;-49,257611;-16,698167;202602
"GOGDB";417;1011;376;-49,2455;-16,6295;202602
"GOIPM";628;2944;1112;-48,160261;-17,721297;202602
"GOSDG";17;396;599;-46,344583;-13,40525;202602
"GOFIO";497;797;448;-50,937222;-17,8175;202602
"GOARP";22;117;217;-50,62575;-15,09325;202602
"GOJPM";192;595;447;-49,268053;-16,659981;202602
"GOSBA";156;1951;1482;-49,693972;-16,575083;202602
"GOSPD";128;1937;1787;-51,95866;-18,30966;202602
"GOC64";687;818;415;-49,297483;-16,694756;202602
"GOIIB";22;321;314;-49,790769;-15,925811;202602
"GO8XB";0;1;1;-50,449;-18,448639;202602
"GOJA1";268;341;165;-49,290289;-16,709203;202602
"GOCHA";20;142;157;-47,79799;-18,11165;202602
"GOTDD";420;1072;600;-49,499561;-16,667544;202602
"GOTMS";421;1327;1088;-49,503078;-16,644131;202602
"GOIEI";433;2738;1560;-49,801447;-16,023567;202602
"GOPSL";632;463;373;-49,186297;-16,7415;202602
"GOJAR";99;131;68;-49,285986;-16,695992;202602
"GO60C";0;3;8;-49,425836;-16,642236;202602
"GOTW1";60;178;120;-51,034497;-17,770733;202602
"GOCJK";1274;2712;1104;-47,946733;-18,177764;202602
"GOFRM";1307;3696;1649;-47,337658;-15,539181;202602
"GOAVM";62;317;190;-49,247717;-16,777908;202602
"GOIBS";56;211;114;-49,22275;-18,397611;202602
"GOBR4";68;378;314;-48,439269;-16,113525;202602
"GORB7";4;102;98;-49,59561;-15,390306;202602
"GOGJD";307;1288;825;-49,220019;-16,674681;202602
