"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GOSPD";133;1996;1971;-51,95866;-18,30966;202512
"GOUNC";110;851;761;-49,678361;-15,508167;202512
"GOPG3";82;417;345;-49,134564;-13,437452;202512
"GOPQA";1272;1843;975;-49,280056;-16,728111;202512
"GOSEB";213;128;44;-49,233134;-16,693786;202512
"GOSBV";880;545;183;-49,263039;-16,714644;202512
"GOTMB";2;22;59;-46,51099;-14,1353;202512
"GOAAA";2;25;34;-49,296111;-13,925556;202512
"GOPOU";0;13;17;-47,456806;-13,957583;202512
"GOPSE";381;4246;5780;-46,366556;-14,091139;202512
"GORZA";464;3622;2320;-47,907658;-16,241894;202512
"GOAAV";48;309;248;-48,976764;-16,382344;202512
"GOCON";45;383;348;-51,788325;-16,911228;202512
"GOURH";733;1380;1092;-49,272711;-16,640811;202512
"GOABV";171;589;273;-48,9336;-16,35272;202512
"GOJUN";132;188;94;-48,947903;-16,333864;202512
"GONCD";100;1027;2313;-50,336417;-14,097833;202512
"GO8PY";60;557;439;-47,344056;-15,559889;202512
"GOMNO";1368;2583;929;-52,557778;-17,558972;202512
"GORTB";219;3166;2400;-49,807156;-15,170833;202512
"GOSAQ";143;1643;1243;-48,292444;-15,934472;202512
"GOSCZ";3;14;17;-48,483631;-17,316169;202512
"GOSRN";16;363;481;-47,190611;-15,093167;202512
"GOABD";44;329;330;-49,403361;-16,813131;202512
"GOPAT";1008;1444;858;-49,201472;-16,740639;202512
"GOPLT";148;1729;1292;-47,604444;-15,480278;202512
"GOAPK";211;674;354;-48,964853;-16,301664;202512
"GOMZA";98;731;1232;-50,570306;-14,746278;202512
"GOSMO";135;959;743;-49,107917;-16,69225;202512
"GO8XE";4;6;6;-49,504639;-16,35775;202512
"GOMUR";72;441;327;-50,339469;-17,973533;202512
"GOOUT";35;303;310;-48,398117;-16,118886;202512
"GOGAH";525;876;527;-49,303611;-16,719169;202512
"GOITQ";62;555;355;-47,428194;-15,34975;202512
"GOAL3";36;836;1733;-46,512461;-14,482539;202512
"GOPSL";635;479;268;-49,186297;-16,7415;202512
"GOGSG";113;278;126;-49,235472;-16,630333;202512
"GOJGB";338;1750;1051;-49,223717;-16,622119;202512
"GOOTS";118;144;82;-49,254411;-16,6874;202512
"GOASF";142;282;137;-48,956278;-16,359556;202512
"GOCTU";101;169;105;-48,632028;-17,739083;202512
"GONER";207;1539;1384;-49,234522;-16,400386;202512
"GOA14";189;1467;900;-48,265417;-15,728833;202512
"GOAJV";115;921;791;-49,302;-16,795;202512
"GOATN";1483;653;262;-49,2655;-16,696681;202512
"GOIPD";140;1751;1702;-49,9355;-15,560939;202512
"GOPOD";389;4222;5643;-46,353278;-14,081194;202512
"GOIBF";170;174;58;-49,212344;-18,434167;202512
"GOCDO";150;172;68;-49,307022;-16,698633;202512
"GOSHG";376;876;468;-50,607872;-17,817372;202512
"GO8YG";19;150;122;-48,263889;-15,741111;202512
"GONHA";336;494;164;-49,300767;-16,727636;202512
"GOIVL";7;71;82;-50,793169;-16,605769;202512
"GOAR8";84;580;333;-48,277081;-15,7408;202512
"GOLVI";8;107;152;-47,869286;-16,274847;202512
"GOALD";233;2028;1188;-48,274011;-15,767936;202512
"GOHEA";129;1039;606;-48,273419;-15,7475;202512
"GOABA";472;1316;632;-48,9378;-16,3065;202512
"GOCRD";1073;4288;3419;-47,609958;-16,771594;202512
"GOGSI";4;4;5;-49,2731;-16,7077;202512
"GOBVD";473;3790;2183;-48,952639;-16,975836;202512
"GOMAH";5;46;22;-49,378083;-14,225889;202512
"GORAT";899;407;163;-49,264472;-16,689889;202512
"GOADB";89;998;903;-49,341661;-16,816339;202512
"GOLSD";104;458;269;-49,254722;-16,824722;202512
"GOCOS";162;1302;876;-47,925222;-16,1955;202512
"GOJIP";207;1901;1813;-49,397189;-16,632067;202512
"GOVSZ";185;1169;920;-49,237356;-16,822628;202512
"GO60D";108;224;198;-49,485528;-16,674056;202512
"GOGSP";132;525;230;-49,20305;-16,673911;202512
"GOASP";823;1515;976;-49,260839;-16,747964;202512
"GOGPM";172;83;35;-49,227361;-16,703972;202512
"GOCOT";30;308;290;-49,194525;-16,801019;202512
"GONJP";52;446;255;-48,061936;-16,074375;202512
"GOAMB";58;278;228;-49,223411;-16,788833;202512
"GOPBT";29;418;731;-48,263528;-15,255167;202512
"GO1S1";88;59;21;-49,271019;-16,714525;202512
"GOAHG";18;156;98;-48,220111;-18,3385;202512
"GONQT";32;392;549;-48,403733;-14,357397;202512
"GOCLS";112;583;434;-48,605722;-17,744528;202512
"GOALE";238;1460;1336;-48,506669;-16,086969;202512
"GO8XI";264;978;483;-47,97125;-16,052333;202512
"GOPHI";2;0;6;-49,32938;-16,65425;202512
"GO8PW";2;76;48;-48,291694;-15,744056;202512
"GOFLT";31;124;120;-48,577631;-17,774161;202512
"GOBRM";80;388;315;-49,31518;-16,5972;202512
"GOGPW";266;343;193;-49,2863;-16,6799;202512
"GOCUC";91;820;594;-48,564511;-18,143639;202512
"GOAPI";216;754;441;-48,955611;-16,291667;202512
"GOEPC";1101;462;188;-49,266636;-16,683289;202512
"GONVZ";138;1142;847;-49,332111;-16,361444;202512
"GOVCZ";130;645;482;-49,386661;-16,661233;202512
"GOJRV";73;461;316;-51,503611;-17,848056;202512
"GOTSD";45;232;117;-47,779889;-18,360083;202512
"GOVCT";290;2442;2119;-49,807389;-17,728639;202512
"GOJNM";117;195;137;-49,231028;-16,687833;202512
"GOVLD";459;716;378;-49,303042;-16,692461;202512
"GOHEL";283;872;539;-49,318031;-16,75565;202512
"GOSCP";198;946;719;-49,10581;-16,70056;202512
"GOCMG";6;35;32;-48,787639;-15,857833;202512
"GOALO";100;787;510;-48,338761;-15,74285;202512
"GOAPJ";109;580;430;-49,216819;-16,76105;202512
"GOAMG";66;680;743;-49,372431;-16,844689;202512
"GOSBT";243;1629;1785;-47,508003;-14,155911;202512
"GOBSR";267;962;617;-49,3379;-16,7367;202512
"GORPL";5;47;20;-49,218694;-17,839639;202512
"GOPER";33;227;214;-52,06;-17,526667;202512
"GOARS";115;718;554;-52,248194;-15,903194;202512
"GOAMC";2;71;312;-46,73288;-13,43338;202512
"GOIEI";451;2793;1669;-49,801447;-16,023567;202512
"GO8YF";0;1;1;-49,499278;-16,383417;202512
"GOBGS";114;816;618;-48,835731;-17,096633;202512
"GOALL";3;29;37;-49,49854;-15,89343;202512
"GOTDD";425;1234;846;-49,499561;-16,667544;202512
"GOBR1";33;91;50;-49,160239;-16,576075;202512
"GOSHD";281;883;598;-50,59125;-17,821444;202512
"GOCTM";49;183;97;-47,90476;-18,1665;202512
"GODAQ";82;749;800;-48,89834;-16,40986;202512
"GOVLB";402;654;393;-49,2558;-16,7313;202512
"GOCPM";6;8;2;-48,625372;-17,74226;202512
"GOA15";130;1038;700;-48,282019;-15,772047;202512
"GOVDO";320;2506;1445;-48,015;-16,056111;202512
"GOTRG";66;433;398;-49,099228;-16,488453;202512
"GOTGL";95;556;528;-49,459611;-16,645111;202512
"GOAAE";119;322;276;-49,307231;-16,6137;202512
"GOMDV";213;671;398;-49,34441;-16,73815;202512
"GO153";294;1371;852;-49,241842;-16,803142;202512
"GOSDG";22;401;663;-46,344583;-13,40525;202512
"GOLQI";152;923;490;-47,923616;-16,247684;202512
"GOCMD";51;504;354;-48,809161;-15,924353;202512
"GORCL";11;101;117;-51,010553;-18,795411;202512
"GOANO";55;455;408;-49,2313;-16,834939;202512
"GOPGQ";162;1402;1015;-47,616444;-15,441722;202512
"GOGTD";84;362;216;-49,3751;-18,0337;202512
"GOUUP";0;62;56;-49,606611;-15,670047;202512
"GOLJR";3;5;5;-50,932697;-17,795575;202512
"GOPGS";191;2366;2222;-49,912619;-16,824342;202512
"GOPID";51;413;445;-48,26889;-17,31996;202512
"GOCAW";286;2580;2208;-51,121444;-18,571944;202512
"GOGDI";8;72;82;-49,116644;-16,377003;202512
"GOCBB";6;20;66;-46,643;-12,99324;202512
"GOCAM";285;885;458;-49,263061;-16,602211;202512
"GOBR2";57;280;199;-48,821561;-16,310228;202512
"GOGMA";277;680;474;-49,287139;-16,644361;202512
"GOPQS";349;2509;1518;-47,973958;-16,110658;202512
"GOBR3";73;305;345;-48,574167;-16,131389;202512
"GORAV";256;725;460;-50,96323;-17,82749;202512
"GOMCH";383;1935;1574;-52,538389;-17,570639;202512
"GOHOR";144;858;1093;-49,336961;-16,624139;202512
"GOPTR";97;854;836;-49,329483;-16,604514;202512
"GOCN4";19;150;156;-52,797653;-18,527181;202512
"GOBVR";31;280;213;-49,044669;-16,8627;202512
"GOSAG";48;184;179;-49,311611;-16,491833;202512
"GOMRG";239;990;1098;-49,32545;-16,6283;202512
"GORQT";62;181;100;-48,755;-17,7675;202512
"GOAVP";748;321;103;-49,269969;-16,689928;202512
"GOBSH";636;1137;678;-49,278411;-16,741642;202512
"GOPD2";147;307;188;-49,283914;-16,665694;202512
"GOPET";77;580;659;-49,322778;-16,102778;202512
"GOURN";441;2218;1832;-49,1358;-14,5263;202512
"GOIPP";13;205;384;-50,639444;-15,801111;202512
"GOROM";56;175;86;-49,268283;-16,615814;202512
"GOCRV";169;3070;2375;-49,703947;-15,358033;202512
"GOPST";306;1305;1420;-46,361989;-14,083608;202512
"GO8XV";0;2;0;-49,79975;-16,024861;202512
"GOQNP";649;3620;2131;-50,453781;-18,450033;202512
"GOJAT";705;1045;464;-49,295028;-16,731639;202512
"GOFST";875;5571;3566;-47,352203;-15,546208;202512
"GOJCU";389;1330;1035;-49,353589;-16,7512;202512
"GOCOC";385;3324;2899;-51,81175;-16,954944;202512
"GOSND";2;19;20;-49,117489;-15,134831;202512
"GOAMS";42;317;212;-49,2744;-16,829761;202512
"GOMNV";50;901;2293;-50,286744;-13,770408;202512
"GORVJ";642;1825;1190;-50,907922;-17,773089;202512
"GOLED";225;1415;751;-47,921242;-16,258414;202512
"GOAFH";441;628;338;-48,953739;-16,3225;202512
"GOGN2";345;967;649;-49,251444;-16,619139;202512
"GOVDE";985;2415;1174;-47,95805;-16,0609;202512
"GOMGS";7;43;53;-50,215192;-16,131806;202512
"GOGAB";181;308;135;-49,286631;-16,688822;202512
"GOISO";64;131;78;-49,223694;-18,405139;202512
"GOAPB";295;2442;1504;-48,267158;-15,756731;202512
"GOICK";192;2773;4894;-46,634556;-14,100806;202512
"GOFRM";1321;3689;1847;-47,337658;-15,539181;202512
"GOVSA";112;330;244;-49,305528;-16,672639;202512
"GOSFD";332;903;351;-49,24397;-16,65273;202512
"GOAI2";280;487;301;-49,26881;-16,66594;202512
"GOSCU";56;531;459;-49,095219;-16,696089;202512
"GOCGG";414;2600;2343;-47,779444;-17,616944;202512
"GOGPL";227;854;613;-49,37264;-16,65678;202512
"GOJBV";215;800;607;-49,233906;-16,74004;202512
"GOCDN";68;195;140;-48,633694;-17,720889;202512
"GOFVI";9;32;35;-48,93077;-16,40979;202512
"GORDG";55;316;281;-49,388719;-16,6458;202512
"GOBOA";168;321;168;-49,245778;-16,744833;202512
"GOPPA";2;7;24;-49,200669;-13,105178;202512
"GOHDO";203;769;541;-49,23228;-16,967942;202512
"GOCM2";60;275;230;-48,61925;-17,7143;202512
"GONEM";29;139;99;-49,241409;-16,788204;202512
"GOCJR";132;296;143;-48,62063;-17,75014;202512
"GOMAM";167;1922;4033;-46,110556;-14,5005;202512
"GOBUA";59;245;207;-49,047944;-18,175667;202512
"GOJIG";274;1961;1229;-47,962686;-16,148769;202512
"GOAVR";215;595;427;-48,905883;-16,356294;202512
"GOLZQ";143;1119;890;-47,914331;-16,26315;202512
"GOGRV";276;961;794;-49,343647;-16,767497;202512
"GORVR";222;913;568;-50,888261;-17,790644;202512
"GO8XS";14;136;86;-48,001694;-16,053806;202512
"GOCFY";285;1331;594;-47,938311;-18,202719;202512
"GOPJB";184;465;333;-49,020269;-17,292614;202512
"GOGMO";200;1160;1687;-49,323161;-16,616333;202512
"GOCDC";669;4182;3470;-52,664011;-18,388789;202512
"GOMDR";340;709;498;-49,347611;-16,757111;202512
"GOISI";136;206;81;-49,223269;-18,427289;202512
"GOLSM";83;601;339;-47,941031;-16,227258;202512
"GOSOL";240;3347;2703;-48,407306;-15,743278;202512
"GOHEN";709;552;314;-49,241633;-16,708811;202512
"GOPVD";203;1542;1650;-49,375192;-16,589117;202512
"GOBR4";67;392;320;-48,439269;-16,113525;202512
"GOAFA";4;17;21;-50,487231;-16,349845;202512
"GOAJB";90;506;414;-49,236961;-16,768019;202512
"GOVSO";101;391;262;-49,211706;-16,588144;202512
"GOIBC";78;115;62;-49,215778;-18,417667;202512
"GOARD";13;129;132;-51,084278;-14,927556;202512
"GOROD";0;7;34;-46,351439;-14,239519;202512
"GOIUP";58;279;161;-49,483172;-16,379525;202512
"GOALS";96;716;451;-48,290889;-15,784417;202512
"GOTW1";55;145;118;-51,034497;-17,770733;202512
"GORNT";43;54;22;-49,250625;-16,680825;202512
"GOSAX";10;209;114;-47,000389;-15,362056;202512
"GORVA";175;497;286;-50,902419;-17,783669;202512
"GOJBS";229;2289;1492;-51,694989;-17,877369;202512
"GOCBE";88;1564;2757;-46,771028;-13,048111;202512
"GOFAT";37;227;236;-49,323405;-16,901323;202512
"GORUC";97;1234;1003;-49,802839;-15,160883;202512
"GOAJR";72;600;599;-49,294167;-16,822222;202512
"GOFVL";192;1045;802;-49,37481;-16,7487;202512
"GONG8";57;670;434;-48,031961;-16,0928;202512
"GOFTA";57;637;522;-49,341539;-16,6104;202512
"GOA09";44;556;442;-48,317061;-15,740919;202512
"GOPQD";311;351;154;-49,280394;-16,720128;202512
"GOGMC";316;383;196;-49,25402;-16,675038;202512
"GONSC";1877;1254;382;-49,27015;-16,719631;202512
"GOJGM";23;127;144;-50,13775;-17,031361;202512
"GOCAB";56;899;975;-46,945528;-15,808222;202512
"GOAMP";201;871;783;-49,288306;-16,781444;202512
"GOCXD";45;764;937;-49,960681;-14,531081;202512
"GOPIR";651;5155;3362;-48,277972;-17,301883;202512
"GOAPC";60;152;91;-49,2434;-16,8202;202512
"GORVL";225;767;411;-50,921347;-17,768003;202512
"GOAIR";52;409;314;-49,27675;-16,81235;202512
"GOARP";19;123;236;-50,62575;-15,09325;202512
"GOJGD";888;421;152;-49,233086;-16,704717;202512
"GOFER";259;1269;1018;-49,184925;-16,666047;202512
"GOAUY";57;239;301;-51,075408;-14,907456;202512
"GOCIR";101;129;75;-48,628317;-17,739092;202512
"GOBSI";5;3;6;-49,276769;-16,741247;202512
"GOCTO";107;655;434;-47,818694;-18,16275;202512
"GOCTD";159;489;363;-48,634;-17,728333;202512
"GONEG";150;672;361;-49,359908;-16,715669;202512
"GOSUM";115;409;286;-48,908489;-16,338831;202512
"GODVE";106;814;1329;-52,31425;-16,721722;202512
"GOLLG";4;34;54;-48,841061;-16,575451;202512
"GOITD";119;1035;860;-51,54586;-19,0672;202512
"GOGOC";173;1692;1651;-50,13575;-15,944889;202512
"GOGRD";408;1086;790;-49,334444;-16,755972;202512
"GOLLL";210;1920;1578;-48,741628;-16,619519;202512
"GOJRG";237;1306;1295;-49,338611;-15,7925;202512
"GO8XO";55;127;94;-47,613861;-16,776361;202512
"GOCPB";340;378;210;-49,273856;-16,676594;202512
"GOIRO";37;189;97;-49,21158;-18,39492;202512
"GOCED";613;3753;1886;-49,600556;-15,314806;202512
"GOPSQ";28;380;475;-46,334919;-14,103511;202512
"GOVNA";542;1195;459;-49,234319;-16,6627;202512
"GOMTE";605;2603;2037;-52,575339;-17,571081;202512
"GORAP";692;809;502;-50,922778;-17,793222;202512
"GOSUV";201;104;40;-49,25232;-16,69585;202512
"GOFRA";377;602;311;-49,245083;-16,640228;202512
"GO10A";14;97;106;-49,386111;-14,289722;202512
"GOGST";336;403;190;-49,241333;-16,680389;202512
"GOJTR";660;3914;1807;-51,726139;-17,837428;202512
"GOMRN";77;379;277;-49,024842;-16,431153;202512
"GOALF";209;269;362;-49,308806;-16,642028;202512
"GOEUR";224;265;154;-49,311589;-16,713708;202512
"GOANB";579;398;148;-49,265222;-16,678056;202512
"GOVPT";416;2308;1067;-47,996944;-16,0755;202512
"GOPQ2";148;480;261;-49,218942;-16,729944;202512
"GOSSR";160;894;633;-49,361;-16,732889;202512
"GONCS";58;712;1362;-50,3225;-14,099444;202512
"GOCT3";37;126;122;-48,627561;-17,727917;202512
"GOLSN";38;268;153;-47,9327;-16,179939;202512
"GOC64";665;829;481;-49,297483;-16,694756;202512
"GOCAR";350;804;474;-49,19821;-16,6938;202512
"GOSHI";162;679;377;-49,201722;-16,65025;202512
"GOCO6";211;1788;1105;-47,95047;-16,10667;202512
"GOMNP";762;2876;1732;-52,546083;-17,548639;202512
"GOVIT";107;857;706;-49,348989;-16,601431;202512
"GOSCM";130;753;821;-49,122106;-16,696303;202512
"GOSAL";50;297;203;-49,259167;-16,833778;202512
"GOCIT";193;683;535;-48,608942;-17,769728;202512
"GO8XY";0;10;15;-48,308889;-15,762722;202512
"GOVGA";449;773;449;-49,18325;-16,698056;202512
"GOSAB";37;177;134;-50,681058;-17,522972;202512
"GORJD";16;140;107;-51,573889;-17,770833;202512
"GOBPS";3;7;4;-48,949011;-16,324264;202512
"GO8RB";42;289;265;-49,426611;-16,504139;202512
"GO8XB";1;0;2;-50,449;-18,448639;202512
"GOFMD";1060;6739;5486;-47,323381;-15,561317;202512
"GOAVB";241;528;301;-49,24763;-16,73643;202512
"GODAT";13;37;33;-48,956714;-16,390481;202512
"GOAFN";521;660;373;-49,261328;-16,670375;202512
"GORIC";86;723;612;-49,632388;-16,159033;202512
"GOGOA";169;1462;1588;-50,130122;-15,930044;202512
"GOPAL";8;90;133;-50,25515;-16,9503;202512
"GORAL";70;453;262;-49,574231;-15,311053;202512
"GOACT";60;730;692;-50,375369;-17,384006;202512
"GOADR";34;40;9;-48,91659;-16,40404;202512
"GO8XT";24;375;398;-47,309056;-15,530806;202512
"GOJBP";1073;1894;694;-51,742569;-17,8992;202512
"GOCNE";109;680;975;-49,1535;-14,314656;202512
"GOLJL";88;761;497;-47,932839;-16,219181;202512
"GOJL2";76;624;462;-47,916836;-16,224156;202512
"GOVAZ";5;98;422;-46,60154;-13,29009;202512
"GOGNE";76;343;290;-49,085833;-15,267222;202512
"GO10B";4;65;155;-49,919867;-14,288314;202512
"GOGSV";186;661;281;-49,206231;-16,684139;202512
"GOSVA";543;4642;2926;-48,614806;-16,669556;202512
"GOGOI";240;1699;1493;-49,020258;-16,500342;202512
"GO8XC";40;157;166;-47,608556;-16,7585;202512
"GOJAB";365;3465;2203;-51,715554;-17,864017;202512
"GOCGC";42;491;551;-48,4048;-15,7318;202512
"GORQN";28;159;77;-48,7603;-17,8085;202512
"GOCHC";303;2823;2345;-50,945806;-18,756583;202512
"GOUUU";14;160;265;-49,687528;-15,668511;202512
"GOBJE";54;243;314;-49,738056;-18,216944;202512
"GOIBS";63;246;137;-49,22275;-18,397611;202512
"GOHUG";217;472;439;-49,335739;-16,6433;202512
"GOBAL";23;307;372;-48,900833;-14,959722;202512
"GOCOL";44;704;861;-48,075056;-14,151611;202512
"GOSSV";1;0;4;-47,98445;-16,079108;202512
"GO1C1";8;13;4;-49,258169;-16,681444;202512
"GOPTI";323;1095;784;-49,207083;-16,747083;202512
"GOPPB";53;229;202;-48,943728;-15,8555;202512
"GOBJD";72;1205;1771;-52,175514;-16,201063;202512
"GOCHA";29;140;163;-47,79799;-18,11165;202512
"GO8BX";5;37;30;-50,37167;-16,51861;202512
"GOVML";178;630;394;-49,220683;-16,685381;202512
"GOJDI";198;941;627;-48,938653;-16,284475;202512
"GOSHJ";7;6;18;-51,730431;-17,872022;202512
"GOASB";224;1232;970;-49,3497;-16,7931;202512
"GOAOV";62;391;367;-49,2394;-16,85144;202512
"GOGCC";448;280;92;-49,259578;-16,685461;202512
"GORP2";0;3;6;-49,486617;-16,661058;202512
"GOCRU";532;573;265;-49,251333;-16,688444;202512
"GOGPO";335;2441;1981;-49,533539;-16,832558;202512
"GOPLD";102;766;634;-47,583417;-15,427361;202512
"GOPRU";411;115;46;-49,258861;-16,702694;202512
"GOLAZ";189;1606;1054;-48,063253;-16,089022;202512
"GODSG";108;1145;1460;-47,574389;-15,232194;202512
"GOCTR";5;74;60;-49,693167;-16,763222;202512
"GOAPO";44;339;466;-51,926417;-18,965139;202512
"GOOCD";276;1476;661;-47,933056;-16,11075;202512
"GOOSA";1;12;21;-49,22918;-16,60927;202512
"GORP1";1;4;0;-49,484758;-16,662078;202512
"GOIIS";2;96;120;-49,87585;-16,112922;202512
"GOGJS";975;202;70;-49,208583;-16,714422;202512
"GOVSE";698;3244;1657;-47,987181;-16,0608;202512
"GOALQ";131;1080;804;-48,328306;-15,756486;202512
"GOAGP";251;435;182;-48,9238;-16,3275;202512
"GOPRE";314;908;509;-49,324025;-16,736133;202512
"GOANS";576;1032;558;-48,956728;-16,330703;202512
"GOICI";128;2239;2160;-49,571639;-14,972553;202512
"GONAZ";154;2420;1745;-49,883139;-16,58425;202512
"GOEDE";357;2924;2937;-49,930453;-17,339164;202512
"GOARJ";79;511;561;-48,988511;-16,283128;202512
"GOJEP";209;550;199;-48,92339;-16,33562;202512
"GO8QO";30;202;112;-48,261444;-15,758639;202512
"GOTSH";101;623;460;-47,771111;-18,346111;202512
"GOVCA";9;234;238;-48,397216;-16,906304;202512
"GOBLZ";25;575;751;-52,5406;-16,197981;202512
"GOVOI";486;1224;667;-47,986389;-16,088611;202512
"GOALP";1334;1737;835;-49,298639;-16,703917;202512
"GOISY";472;916;642;-49,504689;-16,357778;202512
"GOGNS";76;445;476;-49,12145;-15,299975;202512
"GO8YH";3;16;13;-48,274;-15,767944;202512
"GOALT";203;1474;841;-48,245869;-15,766978;202512
"GOVPD";237;1428;1039;-49,186233;-16,660867;202512
"GOGPR";533;986;899;-49,294608;-16,645658;202512
"GOVEC";191;1228;921;-49,394989;-16,685433;202512
"GOICC";148;1878;1416;-49,555636;-14,954528;202512
"GOPOS";76;704;689;-49,610944;-16,943833;202512
"GORIP";52;552;279;-48,167797;-17,654333;202512
"GOPGT";379;1947;1808;-49,145736;-13,44305;202512
"GOSRP";150;1000;826;-49,085686;-16,690989;202512
"GOGIN";265;1987;1931;-49,430556;-16,502778;202512
"GOBUE";32;202;191;-49,041481;-18,126814;202512
"GOJTC";656;1513;806;-51,725;-17,891333;202512
"GORVG";189;442;256;-50,991494;-17,824808;202512
"GOUUC";6;182;185;-49,593844;-15,512919;202512
"GOAEN";198;518;231;-48,955442;-16,348625;202512
"GOAP1";178;983;1105;-47,5179;-14,136611;202512
"GOIUD";76;380;278;-49,609417;-16,208064;202512
"GOIEQ";199;2929;3667;-49,794861;-16,007019;202512
"GOANL";98;285;175;-48,950789;-16,368228;202512
"GO8QM";14;74;165;-47,607389;-16,752194;202512
"GOCMY";19;159;144;-48,148333;-18,266639;202512
"GOSTA";511;4250;2676;-48,267453;-15,942111;202512
"GOCSO";466;600;312;-48,630956;-17,745142;202512
"GO8BD";6;50;40;-48,233667;-15,77575;202512
"GOJAS";989;853;349;-49,281444;-16,712694;202512
"GOGJD";303;1333;900;-49,220019;-16,674681;202512
"GOMAZ";40;220;159;-49,336944;-14,195028;202512
"GO8XR";1;18;29;-49,31961;-15,76099;202512
"GOBCO";214;514;280;-49,308456;-16,770844;202512
"GOFMO";187;865;504;-47,322228;-15,546197;202512
"GOJTO";756;2165;1147;-51,733414;-17,898858;202512
"GOITN";43;173;121;-48,637611;-17,769347;202512
"GOBMP";284;698;568;-49,303944;-16,620106;202512
"GO60H";1;5;5;-49,502861;-16,644;202512
"GO60C";0;4;10;-49,425836;-16,642236;202512
"GOTAX";8;19;9;-48,42884;-16,11065;202512
"GOAIM";76;781;825;-49,313033;-16,819011;202512
"GOSUD";1241;749;239;-49,277147;-16,696217;202512
"GOTUR";123;1791;1402;-50,1487;-16,608253;202512
"GO8QN";7;81;94;-50,444028;-18,454083;202512
"GOPAE";23;86;62;-52,258056;-17,534778;202512
"GO8PV";82;287;215;-50,436176;-18,446181;202512
"GOUUF";9;79;81;-49,634007;-15,632446;202512
"GOCMC";75;700;554;-48,812556;-15,928528;202512
"GOSIL";2;33;42;-50,29379;-16,37785;202512
"GOAFG";97;1375;1407;-47,7845;-14,979833;202512
"GOSJG";104;815;687;-49,112444;-16,677889;202512
"GORIA";49;1301;1367;-49,924028;-15,689389;202512
"GOHDD";294;1886;1508;-49,217933;-16,955219;202512
"GOCDS";172;383;268;-49,31855;-16,769603;202512
"GOSTN";197;548;277;-49,239278;-16,734611;202512
"GOAT7";1042;590;166;-49,274908;-16,688914;202512
"GOGJN";170;592;398;-49,211478;-16,665197;202512
"GOAJI";146;988;1001;-49,267569;-16,822697;202512
"GOACX";146;840;577;-48,965;-16,3686;202512
"GOBAV";112;749;547;-49,182;-16,638;202512
"GO8QG";2;10;4;-47,973417;-16,071222;202512
"GOGED";231;882;1128;-49,31679;-16,60568;202512
"GOSPW";32;319;250;-51,973889;-18,281389;202512
"GODAG";13;45;40;-49,207653;-16,810066;202512
"GOIRC";33;358;688;-50,614681;-15,821519;202512
"GOVBA";299;724;461;-49,230178;-16,671569;202512
"GOAPU";205;554;258;-48,947897;-16,301839;202512
"GOALC";115;1109;637;-48,261444;-15,740611;202512
"GOMAC";10;23;20;-48,906542;-17,722903;202512
"GOACW";81;742;714;-49,294839;-16,830719;202512
"GOCXA";77;955;939;-49,980917;-14,546472;202512
"GOMUT";908;327;156;-49,267583;-16,701583;202512
"GOSLU";211;231;100;-49,240519;-16,687333;202512
"GOFBV";67;353;237;-52,895944;-17,383139;202512
"GOREC";66;538;526;-49,355236;-16,618106;202512
