"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GOFMQ";590;5480;3670;-47,313289;-15,544267;202512
"GOMMV";30;106;111;-53,043111;-17,721139;202512
"GOAVJ";89;414;281;-48,97555;-16,3494;202512
"GOVGR";69;563;353;-48,021064;-16,060753;202512
"GORJU";30;158;144;-51,773283;-17,632381;202512
"GONAA";90;160;81;-49,3074;-16,68872;202512
"GOGSD";182;919;536;-49,345108;-16,658489;202512
"GOMCS";125;963;962;-49,373061;-16,7048;202512
"GONG5";71;622;492;-48,078944;-16,0999;202512
"GOOCI";123;1188;800;-47,940389;-16,091278;202512
"GOGRP";236;665;371;-49,37345;-16,67929;202512
"GO8QJ";0;3;4;-49,339361;-15,792;202512
"GOPFO";298;637;441;-49,292806;-16,624028;202512
"GOJDA";246;297;182;-49,288286;-16,702664;202512
"GOCRO";159;489;276;-49,268858;-16,650061;202512
"GOMCO";24;373;520;-46,957444;-14,895417;202512
"GOMMG";27;607;655;-48,15475;-15,056528;202512
"GOAMA";254;665;465;-48,9625;-16,315;202512
"GOIPA";215;1885;1663;-51,111;-16,444928;202512
"GORMC";245;1011;594;-49,2761;-16,574469;202512
"GOVPE";533;1561;645;-47,979194;-16,051778;202512
"GOVIB";63;1155;1603;-47,060528;-15,041333;202512
"GO8XQ";18;233;163;-48,290528;-15,786464;202512
"GOSMR";528;159;80;-49,257611;-16,698167;202512
"GOCVL";627;575;162;-47,964369;-18,178939;202512
"GOOMO";113;407;367;-49,269139;-16,546019;202512
"GOJSA";542;2280;1235;-51,7416;-17,911489;202512
"GOMKU";135;1116;1293;-48,209167;-13,523333;202512
"GOA10";113;995;568;-48,291778;-15,7441;202512
"GOAJH";37;296;368;-49,354722;-16,804444;202512
"GOTCQ";613;308;125;-49,272361;-16,6945;202512
"GOMVD";426;2897;2459;-51,178361;-17,446472;202512
"GOA13";145;1377;979;-48,28595;-15,71072;202512
"GOLSF";573;2187;909;-47,957419;-16,266922;202512
