"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GOVML";178;609;404;-49,220683;-16,685381;202601
"GOJCU";400;1270;1033;-49,353589;-16,7512;202601
"GOEDE";355;2860;2862;-49,930453;-17,339164;202601
"GOFLI";8;5;10;-49,236225;-16,709181;202601
"GORRP";310;769;574;-49,307381;-16,6279;202601
"GOSAY";340;543;403;-49,201531;-16,605939;202601
"GOAPB";343;2632;1611;-48,267158;-15,756731;202601
"GOBIT";55;297;475;-51,163611;-15,243333;202601
"GORTB";226;3119;2386;-49,807156;-15,170833;202601
"GOGJL";255;930;752;-49,352264;-16,765831;202601
"GOSUD";1571;879;247;-49,277147;-16,696217;202601
"GORJM";1160;1457;655;-50,942833;-17,780389;202601
"GORVG";172;393;204;-50,991494;-17,824808;202601
"GODS5";391;782;354;-49,234747;-16,670296;202601
"GOLAS";68;519;465;-51,400303;-19,179917;202601
"GOFRT";619;1367;622;-47,338444;-15,546861;202601
"GOCRO";175;529;345;-49,268858;-16,650061;202601
"GOPD2";165;320;184;-49,283914;-16,665694;202601
"GOMNV";50;913;2298;-50,286744;-13,770408;202601
"GOMIN";268;1266;995;-52,546056;-17,580667;202601
"GOPCH";30;187;211;-51,234167;-17,820278;202601
"GOARJ";95;568;605;-48,988511;-16,283128;202601
"GOLEG";169;235;140;-49,2261;-16,6952;202601
"GOIUO";15;209;293;-49,735678;-16,20892;202601
"GOJDD";259;1520;843;-51,713969;-17,871989;202601
"GODTU";1023;616;247;-49,278889;-16,701083;202601
"GOGNN";145;1163;1197;-49,136581;-15,308961;202601
"GOAVR";208;575;430;-48,905883;-16,356294;202601
"GO1F1";22;58;87;-49,257967;-16,658667;202601
"GOJBV";285;972;652;-49,233906;-16,74004;202601
"GOCPS";380;664;468;-49,282544;-16,673175;202601
"GOPBC";359;3510;3747;-48,287722;-15,167528;202601
"GOCMD";54;504;328;-48,809161;-15,924353;202601
"GO8QN";11;71;89;-50,444028;-18,454083;202601
"GOANL";100;264;164;-48,950789;-16,368228;202601
"GONPS";55;489;463;-49,212117;-16,431322;202601
"GOGNT";241;830;450;-49,130331;-15,332167;202601
"GOCO5";127;884;523;-47,941487;-16,121541;202601
"GOA18";33;220;164;-48,308897;-15,762719;202601
