"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"tac","LTE Tracking Area Code. A 16 bit integer used to facilitate handoff of a device between cells. The Tracking Area Identity can be determined by prepending the MCC and MNC to the Tracking Area Code.","number","2021-07-01","9"
"pci","LTE Physical Cell Identity. An integer to identify the physical LTE cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 503. A value of 65535 or null indicates that the device was unable to return a PCI value.","number","2021-07-01","5"
"cell_identifier","28-bit Cell Identity. Returns ""MAX_VALUE"", if unknown.","number","2021-07-01","10"
"lte_enodeb","The eNodeB ID of the cell site that the device is connected to","number","2021-07-01","10"
"rnc_id","3G Radio Network Controller ID of the cell site that the device is connected to","number","2021-07-01","10"
"cell_id","The cell (or sector) ID of the cell site that the device is connected to; can be use in conjunction with lte_enodeb or rnc_id","number","2021-07-01","10"
"arfcn","The Absolute Radio Frequency Channel Number (ARFCN) is a unique number given to each radio channel in GSM. The ARFCN can be used to calculate the exact frequency of the radio channel. Within the GSM900 band ARFCN 1 to 124 are used. In the GSM1800 band ARFCN 512 to 885 are used.","number","2021-07-01","8"
"uarfcn","The UTRA Absolute Radio Frequency Channel Number (UARFCN) is a unique number given to each radio channel within the frequency bands used by the UMTS UTRA. The UARFCN can be used to calculate the carrier frequency.","number","2021-07-01","8"
"earfcn","EARFCN stands for E-UTRA Absolute Radio Frequency Channel Number.In LTE, the carrier frequency in the uplink and downlink is designated by EARFCN, which ranges between 0-65535. EARFCN uniquely identify the LTE band and carrier frequency. EARFCN is independent of channel bandwidth.","number","2021-07-01","8"
"is_primary_cell","Denotes whether or not the cell site was designated by Ookla as the primary serving cell. TRUE if the cell is the primary serving cell, FALSE if the cell is not the primary serving cell","number","2021-07-01","3"
"rsrp","Reference signal received power; this field is pre-filtered to between -144 and -44","number","2021-07-01","4"
"rsrq","Reference signal received quality; this field is pre-filtered to between -20 and -3","number","2021-07-01","5"
"rssi","Received signal strength indicator; this field is pre-filtered to between -113 and -51","number","2021-07-01","11"
"rssnr","Reference signal signal-to-noise ratio","number","2021-07-01","3"
"timing_advance","LTE Timing Advance measured in Ts. 2147483647 represents unknown.","number","2021-07-01","11"
"cqi","Channel Quality Indicator. In LTE, there are 15 different CQI values ranging from 1 to 15 and mapping between CQI and modulation scheme.","number","2021-07-01","2"
"wifi_bssid","The media access control address (MAC) address of the wifi Chipset running on the wireless access point to which the device is connected.","text","2021-07-01","50"
"wifi_rssi","Wifi RSSI signal strength.","number","2021-07-01","11"
"wifi_frequency","The frequency the wifi router is connecting with when test is taken. This field is connected to wifi test results only.","number","2021-07-01","5"
"wifi_channel","Conversion of wifi frequency to channel number","number","2021-07-01","5"
"grant_billing","Indicates the user granted the app billing permissions","text","2021-07-01","5"
"grant_internet","Indicates the user granted the app internet permissions","text","2021-07-01","5"
"grant_network_state","Indicates the user granted the app network state permissions","text","2021-07-01","5"
"grant_phone_state","Indicates the user granted the app phone state permissions","text","2021-07-01","5"
"grant_fine_location","Indicates the user granted the app fine location permissions","text","2021-07-01","5"
"grant_coarse_location","Indicates the user granted the app coarse location permissions","text","2021-07-01","5"
"grant_background_location","Indicates the user granted the app background location permissions","text","2021-07-01","5"
"grant_wifi_state","Indicates the user granted the app wifi state permissions","text","2021-07-01","5"
"grant_boot_completed","Indicates the user granted the app boot permissions (to restart jobs after reboot)","text","2021-07-01","5"
"location_age","Derived by Ookla; based on timestamp (in ms) of the chosen best location vs. the current location. Reveals how long ago was the location was generated.","number","2021-07-01","11"
"radio","The version string for the radio firmware.","text","2021-07-01","255"
"cell_bandwidth","Cell bandwidth in kHz","number","2021-07-01","5"
"nr_ss_rsrp","Synchronization Signal Reference Signal Received Power (SS-RSRP) is defined as the linear average over the power contributions (in [W]) of the resource elements that carry secondary synchronization signals. Reference: 3GPP TS 38.215.","number","2021-07-01","6"
"nr_ss_rsrq","Synchronization Signal Reference Signal Received Quality (SS-RSRQ) is defined as the ratio of N×SS-RSRP / NR carrier RSSI, where N is the number of resource blocks in the NR carrier RSSI measurement bandwidth. Reference: 3GPP TS 38.215.","number","2021-07-01","4"
"nr_ss_sinr","SS signal-to-noise and interference ratio (SS-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying secondary synchronisation signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.","number","2021-07-01","4"
"nr_csi_rsrp","CSI Reference Signal Received Power (CSI-RSRP), is defined as the linear average over the power contributions (in [W]) of the resource elements of the antenna port(s) that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI-RS occasions. Reference: 3GPP TS 38.215.","number","2021-07-01","6"
"nr_csi_rsrq","CSI Reference Signal Received Quality (CSI-RSRQ) is defined as the ratio of N×CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwidth. Reference: 3GPP TS 38.215.","number","2021-07-01","4"
"nr_csi_sinr","CSI signal-to-noise and interference ratio (CSI-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying CSI reference signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.","number","2021-07-01","4"
"nr_level","An abstract level value for the overall signal quality (NR). 0 = none or unknown, 1 = poor, 2 = moderate, 3 = good, 4 = great","number","2021-07-01","3"
"nr_asu","RSRP in ASU (NR). Asu is calculated based on 3GPP RSRP. Refer to 3GPP 27.007 (Ver 10.3.0) Sec 8.69.","number","2021-07-01","3"
"nr_arfcn","New Radio Absolute Radio Frequency Channel Number. Reference: 3GPP TS 38.101-1 section 5.4.2.1 NR-ARFCN and channel raster. Reference: 3GPP TS 38.101-2 section 5.4.2.1 NR-ARFCN and channel raster.","number","2021-07-01","20"
"nr_nci","New Radio Cell Identity.","number","2021-07-01","20"
"nr_pci","New Radio Physical Cell ID.","number","2021-07-01","4"
"nr_tac","New Radio Tracking Area Code.","number","2021-07-01","9"
"nr_mcc","Mobile Country Code of New Radio cell.","text","2021-07-01","3"
"nr_mnc","Mobile Network Code of New Radio cell.","text","2021-07-01","3"
"nr_state","New Radio state of the mobile data network. Returns one of the following: 1 = RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) but either the use of dual connectivity with NR(DCNR) is restricted or NR is not supported by the selected PLMN.2 = NOT_RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and both the use of dual connectivity with NR(DCNR) is not restricted and NR is supported by the selected PLMN.3 = CONNECTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and also connected to at least one 5G cell as a secondary serving cell.0 = NONE. The device isn't camped on an LTE cell or the LTE cell doesn't support E-UTRA-NR Dual Connectivity(EN-DC).","number","2021-07-01","3"
"nr_frequency_range","The frequency range of 5G NR. 0 = FREQUENCY_RANGE_UNKNOWN. Indicates frequency range is unknown.1 = FREQUENCY_RANGE_LOW. Indicates the frequency range is below 1GHz.2 = FREQUENCY_RANGE_MID. Indicates the frequency range is between 1GHz to 3GHz.3 = FREQUENCY_RANGE_HIGH. Indicates the frequency range is between 3GHz and 6GHz.4 = FREQUENCY_RANGE_MMWAVE. Indicates the frequency range is above 6GHz.","number","2021-07-01","3"
"is_nr_available","""True"" if NR is supported by the selected PLMN. Otherwise, ""False"". Reference: 3GPP TS 36.331 v15.2.2 section 6.3.1 PLMN-InfoList-r15.","text","2021-07-01","1"
"is_nr_telephony_sourced","True if any of the following fields were sourced from Android's TelephonyManager rather than CellInfoNr: ss_rsrp, ss_rsrq, ss_sinr, csi_rsrp, csi_rsrq, csi_sinr, nr_level, nr_arfcn, nci, nr_pci, nr_tac, nr_mcc, nr_mnc Otherwise, ""False"".","text","2021-07-01","1"
"is_using_carrier_aggregation","True if carrier aggregation is in use.","text","2021-07-01","1"
"cell_bandwidths","An array (JSON string containing an array of integers) of cell bandwidths (in kHz) for the current serving cells.","text","2021-07-01","255"
"is_access_network_technology_nr","True when the cellular data access network technology is NR. Useful for indicating if the underlying cellular connection is NR while connected to WiFi as the active data bearer for 5G standalone implementations.","text","2021-07-01","5"
"wifi_ssid_s","The SSID of the currently connected wifi.","text","2021-07-01","50"
"alt_sim_operator_name","The name of the secondary/alternate SIM card provider when using a dual SIM device.","text","2022-02-23","255"
"alt_raw_sim_operator_name","The raw name of the secondary/alternate SIM card provider when using a dual SIM device.","text","2022-02-23","255"
"alt_sim_operator_mcc_code","The mobile country code of the secondary/alternate SIM card operator when using a dual SIM device.","number","2022-02-23","3"
"alt_sim_operator_mnc_code","The mobile network code of the secondary/alternate SIM card operator when using a dual SIM device.","number","2022-02-23","3"
"connection_type_check","Indicates if the result passes connection type checks.","text","2022-02-23","5"
"is_vpn","Indicates if the device was connected to a VPN.","text","2022-02-23","5"
"valid_carrier_name","Indicates if the reported carrier name is valid.","text","2022-02-23","5"
"gmaps_country_code","Country code where the test is taken.","text","2022-02-23","2"
"playlist_url","The playlist URL which indicates the CDN server used for testing.","text","2022-02-23","255"
"wifi_link_speed","The WiFi or ethernet link speed when the test is taken.","number","2022-02-23","10"
"wifi_standard","The connection Wi-Fi standard value.0 = unknown1 = legacy; Wi-Fi 802.11a/b/g4 = Wi-Fi 802.11n5 = Wi-Fi 802.11ac6 = Wi-Fi 802.11ax7 = Wi-Fi 802.11ad","number","2022-02-23","1"
"cdn_location","The location of the CDN used for testing. Displayed as CDN-CITY, example: FASTLY-SEA","text","2022-06-29","15"
"video_abr_start_rendition","The starting bitrate rendition for the adaptive bitrate stage.","text","2023-03-22","10"
