"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"val_uplink2_packet_loss_ratio","the percentage of packets lost during the uplink2 measurement","float","07-01-2024","20","Mobile + Wifi"
"val_uplink2_packet_count","the number of packets transferred during the uplink2 measurement","integer","07-01-2024","10","Mobile + Wifi"
"val_uplink2_out_of_order_packets_ratio","the percentage of out of order uplink2 packets","float","07-01-2024","20","Mobile + Wifi"
"val_uplink2_out_of_order_packets_count","the number of out of order uplink2 packets","integer","07-01-2024","10","Mobile + Wifi"
"val_uplink2_mean_jitter","mean uplink2 jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_iqm_jitter","interquartile mean uplink2 jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_median_jitter","50th percentile (median) uplink2 jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_p10_jitter","10th percentile uplink2 jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_p90_jitter","90th percentile uplink2 jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_minimum_jitter","minimum uplink2 jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_maximum_jitter","maximum uplink2 jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_mean_latency","mean uplink2 latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_iqm_latency","interquartile mean uplink2 latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_median_latency","50th percentile (median) uplink2 latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_p10_latency","10th percentile uplink2 latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_p90_latency","90th percentile uplink2 latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_minimum_latency","minimum uplink2 latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_uplink2_maximum_latency","maximum uplink2 latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"attr_errors","reason for test failure SERVER_SELECTION_FAILURE(0),TIME_SYNC_FAILURE(1),DOWNLINK_FAILURE(2),UPLINK_FAILURE(3),UDP_CONNECTION_FAILURE(4),TRAFFIC_PROFILE_TIMEOUT(5),TRAFFIC_PROFILE_INTERRUPTED(6)","text","07-01-2024","100","Mobile + Wifi"
"attr_data_source_version","The SDK version number.","text","07-01-2024","10","Mobile + Wifi"
"id_location_building","The unique Building ID where the measurement was estimated to have been captured. If NULL then the measurement was not tagged as being captured indoor.","text","2025-03-31","255","Mobile + Wifi"
"val_indoor_confidence_level","The percentage (0% - 100%) level of likelihood that the measurement was captured indoor. If NULL then the measurement was not tagged as being captured indoor.","float","2025-03-31","6","Mobile + Wifi"
"ts_result_received","Date and time that the test result was received the device.","timestamp","2025-10-24","19","Mobile + Wifi"
"id_device","Public-facing unique ID of the user/device.","text","2025-10-24","35","Mobile + Wifi"
"id_platform","Denotes the platform on which the test was taken: Android or iOS","text","2025-10-24","7","Mobile + Wifi"
"attr_location_timezone","Name of user's timezone at location of test.","boolean","2025-10-24","50","Mobile + Wifi"
"attr_place_country_code","Country code where test is taken.","text","2025-10-24","2","Mobile + Wifi"
"attr_radio_access_technology_type_name","Filter field to differentiate All Cell or 5G measurement","text","2025-10-24","225","Mobile + Wifi"
"attr_connection_type","Connection Type.0 | Unknown1 | Dialup2 | Cable/DSL3 | Corporate4 | Cellular5| Satellite","integer","2025-10-24","9","Mobile + Wifi"
"id_initial_cell","from CQoE data the first cell_id for measurement_sequence_id ordered by (page_load, filetransfer, video, traffic_profile)","integer","2025-10-24","255","Mobile"
"id_initial_lac","from CQoE data the first lac_tac for measurement_sequence_id ordered by (page_load, filetransfer, video, traffic_profile)","integer","2025-10-24","255","Mobile"
"val_downlink_repeat_count","Common SQL Logic for downlink_repeat_count, uplink1_repeat_count, uplink2_repeat_count","integer","2025-10-24","255","Mobile + Wifi"
"val_uplink1_repeat_count","Common SQL Logic for downlink_repeat_count, uplink1_repeat_count, uplink2_repeat_count","integer","2025-10-24","255","Mobile + Wifi"
"val_uplink2_repeat_count","Common SQL Logic for downlink_repeat_count, uplink1_repeat_count, uplink2_repeat_count","integer","2025-10-24","255","Mobile + Wifi"
"attr_wifi_frequency_mhz","The frequency the WiFi router isconnecting with when test is taken","integer","2025-10-24","5","Wifi"
"attr_wifi_channel_width_id","The width of the Wifi channel (inMHz).","integer","2025-10-24","3","Wifi"
"attr_wifi_standard","The friendly name of the connectionWi-Fi standard value such as:unknown, legacy Wi-Fi 802.11a/b/g,Wi-Fi 802.11n, Wi-Fi 802.11ac, Wi-Fi802.11ax, Wi-Fi 802.11ad","text","2025-10-24","25","Wifi"
"id_wifi_standard","The connection Wi-Fi standardvalue.0 = unknown1 = legacy; Wi-Fi802.11a/b/g4 = Wi-Fi 802.11n5 =Wi-Fi 802.11ac6 = Wi-Fi 802.11ax7 =Wi-Fi 802.11ad","integer","2025-10-24","1","Wifi"
"attr_wifi_rssi_dbm","Wifi RSSI signal strength.","integer","2025-10-24","11","Wifi"
"attr_wifi_max_supported_rx_link_speed_mbps","The maximum supported receive link speed in Mbps reported by Android.","integer","2025-10-24","11","Wifi"
"attr_wifi_max_supported_tx_link_speed_mbps","The maximum supported transmit link speed in Mbps reported by Android.","integer","2025-10-24","11","Wifi"
"attr_wifi_rx_link_speed_mbps","The current receive link speed inMbps reported by Android.","integer","2025-10-24","11","Wifi"
"attr_wifi_tx_link_speed_mbps","The current transmit link speed inMbps reported by Android.","integer","2025-10-24","11","Wifi"
"is_wifi_connected","TRUE if the device is connected to wifi.","boolean","2025-10-24","5","Wifi"
"attr_device_brand_raw","Raw (or Android API-returned) brand of the device.","text","2025-10-24","255","Mobile + Wifi"
"attr_device_model_raw","Raw (or Android API-returned) model of the device.","text","2025-10-24","255","Mobile + Wifi"
"attr_device_version","The version of the device.","text","2025-10-24","32","Mobile + Wifi"
"attr_device_os_version","The version of the operating system being used by the device at the time of the test.","text","2025-10-24","20","Mobile + Wifi"
"attr_device_battery_state","The status of the battery Charging, Discharging, Not charging, Full, Unknown.","text","2025-10-24","2","Mobile + Wifi"
"val_device_battery_temperature","The temperature of the battery.","float","2025-10-24","5","Mobile + Wifi"
"val_device_cpu_usage","The CPU usage in percentage.","float","2025-10-24","5","Mobile + Wifi"
"val_device_ram","The total ram of the device.","integer","2025-10-24","10","Mobile + Wifi"
"val_device_free_ram","The amount of free RAM in MB.","integer","2025-10-24","10","Mobile + Wifi"
"val_device_maximum_storage","The maximum amount of storage in the device.","integer","2025-10-24","10","Mobile + Wifi"
"val_device_free_storage","The amount of free storage.","integer","2025-10-24","10","Mobile + Wifi"
"id_cell_primary","The primary cell ID that the device is connected to during the test.","integer","2025-10-24","32","Mobile"
"attr_cell_arfcn","18-bit Absolute RF Channel Number.","integer","2025-10-24","32","Mobile"
"attr_cell_lac","GSM, WCDMA. A 16-bit integer representing a cell's location within a given operator's system.","integer","2025-10-24","32","Mobile"
"attr_cell_tac","GSM, WCDMA. A 16-bit integer representing a cell's location within a given operator's system.","integer","2025-10-24","32","Mobile"
"attr_cell_location_latitude","cell_id latitude","integer","2025-10-24","32","Mobile"
"attr_cell_location_longitude","cell_id longitude","integer","2025-10-24","32","Mobile"
"attr_cell_location_admin1","The geographical administrative area level 1 of the measurement based on cell latitude/longitude.","text","2025-10-24","32","Mobile"
"attr_cell_location_admin2","The geographical administrative area level 2 of the measurement based on cell latitude/longitude.","text","2025-10-24","32","Mobile"
"attr_cell_location_admin3","The geographical administrative area level 3 of the measurement based on cell latitude/longitude.","text","2025-10-24","32","Mobile"
"attr_cell_technology_standard_name","The standard name of the cellular technology associated with the cell (GSM, CDMA, WCDMA, LTE, NR)","text","2025-10-24","6","Mobile"
