"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"sim_operator_mnc_code","The Mobile Network Code of the SIM card operator, following the ITU-T E.212 format","text","2022-05-25","3"
"network_operator_name","The name of the mobile network operator that the device is connected to","text","2022-05-25","255"
"network_operator_mcc_code","The Mobile Country Code of the network operator that the device is connected to, following the ITU-T E.212 format","text","2022-05-25","3"
"network_operator_mnc_code","The Mobile Network Code of the network operator that the device is connected to, following the ITU-T E.212 format","text","2022-05-25","3"
"client_latitude","The most reliable device latitude (in decimal degrees) based on age and accuracy, as reported by GPS and other location services","number","2022-05-25","10"
"client_longitude","The most reliable device longitude (in decimal degrees) based on age and accuracy, as reported by GPS and other location services","number","2022-05-25","10"
"altitude","The most reliable device elevation (in meters) above the WGS-84 reference ellipsoid, based on age and accuracy, as reported by GPS and other location services","number","2022-05-25","6"
"location_accuracy","The number of meters within which the longitude and latitude are accurate, with `0` indicating inability to establish accuracy","number","2022-05-25","5"
"vertical_accuracy","The number of meters within which the elevation is accurate, with `0` indicating inability to establish accuracy","number","2022-05-25","4"
"location_age","How stale (in milliseconds) the location data is, calculated as the difference between the device's timestamp for the acquired location and the time of the scan","number","2022-05-25","11"
"location_type","How location coordinates were established: `1`: on-device Android location services (eg, GPS or Fused)`2`: Ookla-inferred location based on IP address (resulting in `null` values for the location elevation, accuracy, and age fields)","number","2022-05-25","1"
"country","The name of the country where the scan was performed","text","2022-05-25","100"
"region","The name of the region (first-order civil entity within a country, such as state, province, or territory) where the scan was performed","text","2022-05-25","100"
"subregion","If applicable, the name of the region (second-order civil entity within a country, such as a county or parish) where the scan was performed","text","2022-05-25","100"
"postal_code","The postal code (as what would be used to address mail within the country) where the scan was performed","text","2022-05-25","100"
"place_name","The name of the most granular place the location coordinates could be resolved to, at the level of granularity specified by `place_type` Note: This will typically be an incorporated city or town political entity (corresponding to a `locality` for the `place_type`), but it may duplicate the value of the `country`, `region`, or `subregion`, if greater granularity is unavailable or inapplicable.","text","2022-05-25","100"
