"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"start_date","Starting date of the time period covered in the extract","date","2020-09-24","10"
"mcc","Network mobile country code","number","2020-09-24","3"
"mnc","Network mobile network code","number","2020-09-24","3"
"latitude","Latitude coordinate (EPSG:4326) of the CellAnalytics bin's bottom left corner.","number","2020-09-24","10"
"longitude","Longitude coordinate (EPSG:4326) of the CellAnalytics bin's bottom left corner","number","2020-09-24","10"
"mobile_data_usage_mb","Mobile data usage (RX + TX) across all technologies in Megabytes","number","2020-09-24","19"
"wifi_data_usage_mb","WiFi data usage (RX + TX) across all technologies in Megabytes","number","2020-09-24","19"
"user_count","Unique number of devices","number","2020-09-24","10"
"provider_name","The provider name associated with the MCC/MNC.","text","2023-09-20","255"
