"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"attr_altsim_operator_mnc","The mobile network code of the secondary/alternate SIM card operator when using a dual SIM device.","number","2024-07-22","3"
"attr_network_operator_common_name","The name of the operator that owns the network that the device is connected to","text","2024-07-22","255"
"attr_network_operator_mcc","The mobile country code of the network that the device is connected to","number","2024-07-22","3"
"attr_network_operator_mnc","The mobile network code of the network that the device is connected to","number","2024-07-22","3"
"attr_isp_common_name","ISP common name associated with IP Address. This will be the name displayed in the Speedtest Intelligence portal.","text","2024-07-22","255"
"attr_network_wcdma_additional_plmns","A list of additional PLMN IDs supported by this cell.","text","2024-07-22","255"
"attr_network_lte_additional_plmns","A list of additional PLMN IDs supported by this cell.","text","2024-07-22","255"
"attr_network_nr_additional_plmns","A list of additional PLMN (Public Land Mobile Network) codes the device is allowed to register on","text","2024-07-22","255"
"attr_isp_name_raw","ISP name associated with IP Address. In some cases, this may report a secondary name of an ISP, for example ABC Fiber.","text","2024-07-22","255"
"attr_sim_state","Text field describing the state of the sim card (ready, not ready, puk required, etc)","text","2024-07-22","32"
"id_connection_type","The data connection type at the time of the scan: 0 Unknown 1 Cell 2 Wifi 3 Gprs 4 Edge 5 Umts 6 Cdma 7 Evdo0 8 EvdoA 9 OnexRTT 10 Hsdpa 11 Hspa 12 Iden 13 Ehrpd 14 EvdoB 15 Lte 16 Hsupa 17 Hspap 18 Gsm 19 TdScdma 20 Iwlan 21 LteCa 22 Ethernet 23 Bluetooth 24 NR","number","2024-07-22","4"
"attr_sim_type_allocation_code","The device's Type Allocation Code (TAC) from the active SIM slot.","number","2024-07-22","8"
"is_connection_carrier_aggregation","True if carrier aggregation is in use.","text","2024-07-22","1"
"is_connection_access_technology_nr","True when the cellular data access network technology is NR. Useful for indicating if the underlying cellular connection is NR while connected to WiFi as the active data bearer for 5G standalone implementations.","text","2024-07-22","5"
"attr_connection_nr_state","New Radio state of the mobile data network. Returns one of the following: 1 = RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) but either the use of dual connectivity with NR(DCNR) is restricted or NR is not supported by the selected PLMN.2 = NOT_RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and both the use of dual connectivity with NR(DCNR) is not restricted and NR is supported by the selected PLMN.3 = CONNECTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and also connected to at least one 5G cell as a secondary serving cell.0 = NONE. The device isn't camped on an LTE cell or the LTE cell doesn't support E-UTRA-NR Dual Connectivity(EN-DC).","number","2024-07-22","3"
"id_connection_network_override_type","Indicates if a network type override occurred.0 = no override1 = LTE with carrier aggregation2 = LTE advanced pro3 = NR NSA4 = NR NSA mmWave5 = NR advanced (NR network with data rate that is higher than the generic 5G rate such as mmWave, unique bands, or carrier aggregation)","number","2024-07-22","1"
"attr_connection_downstream_bandwidth_kbps","Estimated first hop downstream bandwidth for the network (in Kbps).","number","2024-07-22","8"
"attr_connection_upstream_bandwidth_kbps","Upstream bandwidth for the network (in Kbps). This only refers to the estimated first hop transport bandwidth.","number","2024-07-22","8"
"attr_connection_type_string","The connection type displayed in sting format.","text","2024-07-22","25"
"attr_connection_data_activity","Indicates the type of activity on a data connection (cellular).0 = DATA_ACTIVITY_NONE, no traffic1 = DATA_ACTIVITY_IN, currently receiving IP PPP traffic2 = DATA_ACTIVITY_OUT, currently sending IP PPP traffic3 = DATA_ACTIVITY_INOUT, currently both sending and receiving IP PPP traffic4 = DATA_ACTIVITY_DORMANT, data connection is active, but physical link is down","number","2024-07-22","1"
"attr_connection_data_state","Indicates the current data connection state (cellular).0 = DATA_DISCONNECTED, IP traffic not available1 = DATA_CONNECTING, currently setting up a data connection2 = DATA_CONNECTED, IP traffic should be available3 = DATA_SUSPENDED, the connection is up, but IP traffic is temporarily unavailable. For example, in a 2G network, data activity may be suspended when a voice call arrives.4 = DATA_DISCONNECTING, IP traffic may be available but will cease working imminently5 = DATA_HANDOVER_IN_PROGRESS","number","2024-07-22","1"
"num_network_registered","A count of the number of registered cell sites the device is connected to","number","2024-07-22","2"
"num_network_unregistered","A count of the number of un-registered cell sites the device is connected to","number","2024-07-22","2"
"attr_location_latitude","Latitude of chosen best location. Ookla chooses the best location based on the reported location age and accuracy.","number","2024-07-22","10"
"attr_location_longitude","Longitude of the chosen best location. Ookla chooses the best location based on the reported location age and accuracy.","number","2024-07-22","10"
