"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"sales_opportunity_score_country","Buildings with relatively high user counts which have superior RF coverage for the indicated operator compared to other operators at the country-level. These are targets to potentially switch users from competitor networks to the indicated operator. Scores are presented on a scale of 0-100, higher score (100) indicates buildings with many users and superior competitive coverage for that operator. Blanks are expected, for example if user counts in the building are low.","number","2022-06-29","3"
"multi_network_coverage_score_country","Buildings with relatively high user counts which have poor RF coverage for multiple operators when compared to other operators at the country-level. Scores are presented on a scale of 0-100, higher score (100) indicates buildings with many users and very poor RF coverage on several networks. Buildings with high scores may be considered by tower and infrastructure companies for deployment of towers, neutral-host DAS systems, or multi-operator small cell systems. Blanks are expected, for example if user counts in the building are low.","number","2022-06-29","3"
"agl_range","Height above ground level, in 15 meter intervals. 0 is 0-15m, 1 is 15-30m, etc. NULL indicates aggregation of all samples within the building (no vertical separation). Negative values indicate distance below ground level, -1 is 0-15m below ground.","number","2023-03-22","2"
"lte_device_count","The LTE device count per operator for the building.","integer","2023-06-21","10"
"lte_sample_count","The LTE sample count per operator for the building.","integer","2023-06-21","10"
"lte_most_frequent_cell_id","The most frequently connected LTE cell ID.","integer","2023-06-21","21"
"nr_device_count","The 5G (NR) device count per operator for the building.","integer","2023-06-21","10"
"nr_sample_count","The 5G (NR) sample count per operator for the building.","integer","2023-06-21","10"
"nr_most_frequent_cell_id","The most frequently connected 5G (NR) cell ID.","bigint","2023-06-21","21"
"lte_most_frequent_pci","The most frequently connected LTE primary cell identifier.","integer","2023-09-20","21"
"lte_most_frequent_band","The most frequently connected LTE band.","integer","2023-09-20","21"
"lte_strongest_cell_id","The strongest connected LTE cell ID.","integer","2023-09-20","21"
"lte_strongest_band","The strongest connected LTE band.","integer","2023-09-20","21"
"lte_strongest_pci","The strongest connected LTE primary cell identifier.","integer","2023-09-20","21"
"nr_most_frequent_pci","The most frequently connected 5G (NR) primary cell identifier.","integer","2023-09-20","21"
"nr_most_frequent_band","The most frequently connected 5G (NR) band.","integer","2023-09-20","21"
"nr_strongest_cell_id","The strongest connected 5G (NR) cell ID.","bigint","2023-09-20","21"
"nr_strongest_band","The strongest connected 5G (NR) band.","integer","2023-09-20","21"
"nr_strongest_pci","The strongest connected 5G (NR) primary cell identifier.","integer","2023-09-20","21"
