"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"brand","The consumer facing brand of the device.","text","2020-06-25","255"
"device","The codename assigned to the device by the manufacturer.","text","2020-06-25","255"
"manufacturer","The device manufacturer.","text","2020-06-25","255"
"model","User device's model.","text","2020-06-25","255"
"hardware","The device hardware name, as reported by the Android kernel.","text","2020-06-25","255"
"chipset_name","Ookla-maintained device chipset name","text","2020-06-25","255"
"start_date","Date from which this chipset will be included in Modern Chipsets.","datetime","2020-06-25","19"
"retirement_date","Date from which this chipset will be excluded from Modern Chipsets.","datetime","2020-06-26","19"
"model_common","The Ookla-maintained common model name of the device used for testing.","text","2023-09-20","255"
